split,auroc,auprc,accuracy,precision,recall,sensitivity,specificity,f1,mcc
train,0.9923081410720727,0.9560578861777801,0.9616477272727273,0.7754220102653036,0.939921002220753,0.939921002220753,0.9644824878626014,0.8497838947981485,0.8330685455501422
validation,0.9633537574501899,0.8785899543270557,0.9419802433484179,0.7117983367983368,0.8356979405034325,0.8356979405034325,0.9558483955728959,0.7687881552171777,0.7389568088982179
test,0.7995797229508639,0.19633269423904615,0.7791856786276411,0.07576210744277004,0.6877610693400167,0.6877610693400167,0.7815658831269813,0.13648892296852008,0.17528835155329328
