Epoch,Epoch Time,Train Loss,Val Loss,Val auprc,Val auroc,DA Bias,DA Threshold,Predicted Prior,Calibrated Prior,Learning Rate
0,3118.894544,0.7174257369171945,0.2797624771024731,0.4711656169706643,0.8023368023053064,-0.02974498178809881,0.5,0.10201960802078247,0.10000000149011612,1.1666666666666665e-05
1,3048.588135,0.19055892825268103,0.18405577821250632,0.7618584862874505,0.9173821803743063,0.1585334464907646,0.5,0.09427531063556671,0.09999998658895493,2.333333333333333e-05
2,3057.651291,0.14084084163444405,0.15044299803820105,0.8231815094329294,0.9382030113368697,-0.18909012526273727,0.5,0.10603056102991104,0.09999999403953552,3.5e-05
3,3364.13661,0.11551373206108813,0.14670455894061823,0.8427595088569031,0.9451869879901375,0.14696509391069415,0.5,0.09646458923816681,0.10000000149011612,1.1666666666666665e-05
4,3360.648626,0.10813788809124729,0.14441387806623515,0.8497927677684405,0.9487693653677906,0.24714773148298264,0.5,0.09405107796192169,0.10000000894069672,2.333333333333333e-05
5,3357.308767,0.10093957730080803,0.14444065204719067,0.8581179303217352,0.9519160104986877,0.27280770242214203,0.5,0.09445299953222275,0.10000000149011612,3.5e-05
6,3358.669006,0.09004633623766525,0.13975471603772155,0.8658048342653946,0.9561246872113014,0.08585191145539287,0.5,0.09843211621046066,0.10000000149011612,3.4881671260484e-05
7,3364.998639,0.08073694973687431,0.13509087640635228,0.8737340938128213,0.9559726642561289,0.025793909095227722,0.5,0.09954433888196945,0.10000000149011612,3.4528285235146915e-05
8,3366.014067,0.07141019160436378,0.13279659779389982,0.8806126943456072,0.9592912529290483,0.009889662731438886,0.5,0.09983966499567032,0.10000000149011612,3.394462086375339e-05
9,3362.032253,0.06343650875475682,0.1350636918547456,0.8853441542822746,0.9604338478669188,0.10952198877930643,0.5,0.09845159947872162,0.10000000149011612,3.313857120565971e-05
10,3358.652755,0.05680756925731125,0.13549239015313483,0.8874512602171192,0.9623104699325171,0.048117129132151604,0.5,0.09938416630029678,0.10000000149011612,3.212103669972639e-05
11,3361.036847,0.04967015573403577,0.13900162351196615,0.8876842785319379,0.9623636241274036,0.038642821833491325,0.5,0.09949715435504913,0.10000000894069672,3.090577775458211e-05
12,3364.974894,0.04440133423637027,0.14353587335926207,0.8884720488923132,0.9621933202405644,0.13914207369089127,0.5,0.09842643141746521,0.09999999403953552,2.950922866270284e-05
13,3366.230938,0.03880591602774149,0.14118210843549486,0.893308834645999,0.96244315964001,-0.23884541541337967,0.5,0.10253270715475082,0.10000000149011612,2.7950275354798755e-05
14,3364.523363,0.03587061887673553,0.15775490462557498,0.8889014221713443,0.9616360087856152,0.08106023445725441,0.5,0.09925630688667297,0.09999999403953552,2.6249999999999998e-05
15,3357.500955,0.031508424750573895,0.16066951432047172,0.8927111947746103,0.9619474453805164,-0.4414698928594589,0.5,0.10374835133552551,0.09999998658895493,2.4431395905685243e-05
16,3364.655189,0.028265931607568413,0.16591671159996552,0.8921348206303403,0.9618887359359801,-0.05015115253627299,0.5,0.10040432214736938,0.10000000149011612,2.251905657244408e-05
17,3365.098238,0.024774311491086318,0.17054923857978904,0.8902136913710144,0.959989207642751,-0.07535719498991963,0.5,0.10056473314762115,0.10000000149011612,2.0538843109171283e-05
18,3368.030579,0.021827436094806512,0.17724143570478718,0.8890660156877724,0.9592239536491506,-0.3740721493959427,0.5,0.10265111923217773,0.10000000149011612,1.8517534505933325e-05
