[FINETUNE] Epoch 0/29 | Batch 50/7374 | Loss: 5.382182 | LR: 7.91e-08
[FINETUNE] Epoch 0/29 | Batch 100/7374 | Loss: 5.264609 | LR: 1.58e-07
[FINETUNE] Epoch 0/29 | Batch 150/7374 | Loss: 6.313529 | LR: 2.37e-07
[FINETUNE] Epoch 0/29 | Batch 200/7374 | Loss: 5.600050 | LR: 3.16e-07
[FINETUNE] Epoch 0/29 | Batch 250/7374 | Loss: 5.404792 | LR: 3.96e-07
[FINETUNE] Epoch 0/29 | Batch 300/7374 | Loss: 4.831843 | LR: 4.75e-07
[FINETUNE] Epoch 0/29 | Batch 350/7374 | Loss: 4.760914 | LR: 5.54e-07
[FINETUNE] Epoch 0/29 | Batch 400/7374 | Loss: 4.315610 | LR: 6.33e-07
[FINETUNE] Epoch 0/29 | Batch 450/7374 | Loss: 3.834506 | LR: 7.12e-07
[FINETUNE] Epoch 0/29 | Batch 500/7374 | Loss: 3.117193 | LR: 7.91e-07
[FINETUNE] Epoch 0/29 | Batch 550/7374 | Loss: 2.618880 | LR: 8.70e-07
[FINETUNE] Epoch 0/29 | Batch 600/7374 | Loss: 2.903624 | LR: 9.49e-07
[FINETUNE] Epoch 0/29 | Batch 650/7374 | Loss: 1.608487 | LR: 1.03e-06
[FINETUNE] Epoch 0/29 | Batch 700/7374 | Loss: 1.355399 | LR: 1.11e-06
[FINETUNE] Epoch 0/29 | Batch 750/7374 | Loss: 1.603484 | LR: 1.19e-06
[FINETUNE] Epoch 0/29 | Batch 800/7374 | Loss: 0.567289 | LR: 1.27e-06
[FINETUNE] Epoch 0/29 | Batch 850/7374 | Loss: 0.967292 | LR: 1.34e-06
[FINETUNE] Epoch 0/29 | Batch 900/7374 | Loss: 0.680447 | LR: 1.42e-06
[FINETUNE] Epoch 0/29 | Batch 950/7374 | Loss: 0.465934 | LR: 1.50e-06
[FINETUNE] Epoch 0/29 | Batch 1000/7374 | Loss: 0.914638 | LR: 1.58e-06
[FINETUNE] Epoch 0/29 | Batch 1050/7374 | Loss: 0.681378 | LR: 1.66e-06
[FINETUNE] Epoch 0/29 | Batch 1100/7374 | Loss: 0.694542 | LR: 1.74e-06
[FINETUNE] Epoch 0/29 | Batch 1150/7374 | Loss: 0.388875 | LR: 1.82e-06
[FINETUNE] Epoch 0/29 | Batch 1200/7374 | Loss: 0.365476 | LR: 1.90e-06
[FINETUNE] Epoch 0/29 | Batch 1250/7374 | Loss: 0.654944 | LR: 1.98e-06
[FINETUNE] Epoch 0/29 | Batch 1300/7374 | Loss: 0.491817 | LR: 2.06e-06
[FINETUNE] Epoch 0/29 | Batch 1350/7374 | Loss: 0.422118 | LR: 2.14e-06
[FINETUNE] Epoch 0/29 | Batch 1400/7374 | Loss: 0.455870 | LR: 2.21e-06
[FINETUNE] Epoch 0/29 | Batch 1450/7374 | Loss: 0.405637 | LR: 2.29e-06
[FINETUNE] Epoch 0/29 | Batch 1500/7374 | Loss: 0.489883 | LR: 2.37e-06
[FINETUNE] Epoch 0/29 | Batch 1550/7374 | Loss: 0.300048 | LR: 2.45e-06
[FINETUNE] Epoch 0/29 | Batch 1600/7374 | Loss: 0.363162 | LR: 2.53e-06
[FINETUNE] Epoch 0/29 | Batch 1650/7374 | Loss: 0.178779 | LR: 2.61e-06
[FINETUNE] Epoch 0/29 | Batch 1700/7374 | Loss: 0.293663 | LR: 2.69e-06
[FINETUNE] Epoch 0/29 | Batch 1750/7374 | Loss: 0.342860 | LR: 2.77e-06
[FINETUNE] Epoch 0/29 | Batch 1800/7374 | Loss: 0.261046 | LR: 2.85e-06
[FINETUNE] Epoch 0/29 | Batch 1850/7374 | Loss: 0.302751 | LR: 2.93e-06
