Epoch,Epoch Time,Train Loss,Val Loss,Val auprc,Learning Rate
0,2101.960199,0.8087953921065066,0.32547933823761094,0.2802690863609314,1.1666666666666665e-05
1,2097.758093,0.26955434095022107,0.19893512340528324,0.7229005694389343,2.333333333333333e-05
2,2101.138952,0.18538272075962406,0.16014125030516638,0.8188419342041016,3.5e-05
3,2104.81901,0.15254472598928895,0.14917836961069986,0.8377152681350708,1.1666666666666665e-05
4,2109.666239,0.14339992690261388,0.14509612342424336,0.8515769243240356,2.333333333333333e-05
5,2110.833023,0.1314753516920745,0.12935338069316552,0.8670897483825684,3.5e-05
6,2105.720431,0.12055781455020144,0.12446826312059683,0.878853976726532,3.4881671260484e-05
7,2112.50859,0.1079196555385095,0.1254129273970961,0.8807309865951538,3.4528285235146915e-05
8,2108.057487,0.0999131976009197,0.12281928511404927,0.8884984254837036,3.394462086375339e-05
9,2105.773832,0.09120223115319831,0.1187608001924498,0.8903462886810303,3.313857120565971e-05
10,2113.330735,0.08454489664797597,0.11968756327202226,0.8892413973808289,3.212103669972639e-05
11,2112.137269,0.07724143411649773,0.12070945699142056,0.892763078212738,3.090577775458211e-05
12,2116.837608,0.0721143598253637,0.125355618253218,0.8934816718101501,2.950922866270284e-05
13,2117.115124,0.06644557085446944,0.12724067074547,0.8921569585800171,2.7950275354798755e-05
14,2118.18815,0.060404814930299526,0.1320730751612007,0.890621542930603,2.6249999999999998e-05
15,2115.200439,0.056155883467905135,0.13485147830548588,0.8901869654655457,2.4431395905685243e-05
16,2118.773951,0.051828237872159906,0.14366687651592958,0.8863451480865479,2.251905657244408e-05
17,2118.272125,0.048128922102249415,0.14623230080407443,0.8881917595863342,2.0538843109171283e-05
