[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.000020
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.000020
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.000020
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.000020
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 3.983806
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 3.983806
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 3.983806
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 3.983806
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 1.072670
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 1.072670
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 1.072670
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 1.072670
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.652541
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.652541
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.652541
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.652541
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.535441
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.535441
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.535441
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.535441
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.011199
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.011199
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.011199
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.011199
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 2.157942
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 2.157942
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 2.157942
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 2.157942
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 3.944303
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 3.944303
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 3.944303
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 3.944303
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 2.239477
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 2.239477
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 2.239477
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 2.239477
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.662460
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.662460
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.662460
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.662460
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.561827
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.561827
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.561827
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.561827
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.591407
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.591407
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.591407
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.591407
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.008518
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.008518
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.008518
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.008518
