split,auroc,auprc,accuracy,precision,recall,sensitivity,specificity,f1,mcc
train,0.9611386142580133,0.8594457025970371,0.9328179783370899,0.66733641053489,0.8333079048636186,0.8333079048636186,0.9458014000862612,0.7411439211754329,0.7088123515963357
validation,0.9356503178377159,0.7976447631553405,0.9207973094328327,0.6274631304994424,0.7723874904652936,0.7723874904652936,0.9401624333147544,0.6924234135667396,0.6521338753709692
test,0.7653727389412601,0.16456015361412152,0.8175646671648198,0.07922310247891644,0.5827067669172933,0.5827067669172933,0.8236791021646576,0.13948256467941508,0.1640269035822243
