[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.952192
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.952192
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.952192
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 1.227788
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 1.648126
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 1.648126
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 1.648126
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 2.000904
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.730054
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.898313
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.730054
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.730054
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.284508
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.267106
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.267106
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.267106
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.138287
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.178361
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.178361
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.178361
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.138632
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.138632
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.138632
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.103106
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 0.555008
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 0.555008
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 0.555008
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 0.636698
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 1.088011
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 1.088011
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 1.088011
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 0.902770
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 0.866392
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 0.866392
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 0.866392
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 0.757868
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.481015
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.481015
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.481015
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.451363
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 0.440252
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 0.440252
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 0.440252
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 0.411740
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 0.319685
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 0.319685
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 0.319685
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 0.270824
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.134702
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.134702
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.134702
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.087659
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.301221
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.301221
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.315298
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.301221
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.179837
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.179837
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.107482
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.179837
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.193936
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.193936
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.180299
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.193936
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.199486
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.199486
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.134616
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.199486
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 0.317760
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 0.317760
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 0.182580
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 0.317760
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.500426
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.500426
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.272634
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.500426
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 0.850741
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 0.782025
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 0.850741
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 0.850741
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 0.539909
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 0.456322
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 0.539909
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 0.539909
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 0.231540
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 0.152824
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 0.231540
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 0.231540
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 0.930460
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 0.674877
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 0.930460
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 0.930460
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 1.093202
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 0.834192
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 1.093202
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 1.093202
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.141033
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.242969
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.242969
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.242969
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 0.134688
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 0.206245
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 0.206245
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 0.206245
[EVALUATE] Split: test_balanced | Batch 1350/5897 | Loss: 0.104958
[EVALUATE] Split: test_balanced | Batch 1350/5897 | Loss: 0.170189
[EVALUATE] Split: test_balanced | Batch 1350/5897 | Loss: 0.170189
[EVALUATE] Split: test_balanced | Batch 1350/5897 | Loss: 0.170189
[EVALUATE] Split: test_balanced | Batch 1400/5897 | Loss: 0.118439
[EVALUATE] Split: test_balanced | Batch 1400/5897 | Loss: 0.136365
[EVALUATE] Split: test_balanced | Batch 1400/5897 | Loss: 0.136365
[EVALUATE] Split: test_balanced | Batch 1400/5897 | Loss: 0.136365
[EVALUATE] Split: test_balanced | Batch 1450/5897 | Loss: 0.222829
[EVALUATE] Split: test_balanced | Batch 1450/5897 | Loss: 0.386465
[EVALUATE] Split: test_balanced | Batch 1450/5897 | Loss: 0.386465
[EVALUATE] Split: test_balanced | Batch 1450/5897 | Loss: 0.386465
[EVALUATE] Split: test_balanced | Batch 1500/5897 | Loss: 0.095827
[EVALUATE] Split: test_balanced | Batch 1500/5897 | Loss: 0.178758
[EVALUATE] Split: test_balanced | Batch 1500/5897 | Loss: 0.178758
[EVALUATE] Split: test_balanced | Batch 1500/5897 | Loss: 0.178758
[EVALUATE] Split: test_balanced | Batch 1550/5897 | Loss: 0.094099
[EVALUATE] Split: test_balanced | Batch 1550/5897 | Loss: 0.169513
[EVALUATE] Split: test_balanced | Batch 1550/5897 | Loss: 0.169513
[EVALUATE] Split: test_balanced | Batch 1550/5897 | Loss: 0.169513
[EVALUATE] Split: test_balanced | Batch 1600/5897 | Loss: 0.115913
[EVALUATE] Split: test_balanced | Batch 1600/5897 | Loss: 0.144948
[EVALUATE] Split: test_balanced | Batch 1600/5897 | Loss: 0.144948
[EVALUATE] Split: test_balanced | Batch 1600/5897 | Loss: 0.144948
[EVALUATE] Split: test_balanced | Batch 1650/5897 | Loss: 0.312717
[EVALUATE] Split: test_balanced | Batch 1650/5897 | Loss: 0.361288
[EVALUATE] Split: test_balanced | Batch 1650/5897 | Loss: 0.361288
[EVALUATE] Split: test_balanced | Batch 1650/5897 | Loss: 0.361288
[EVALUATE] Split: test_balanced | Batch 1700/5897 | Loss: 0.135959
[EVALUATE] Split: test_balanced | Batch 1700/5897 | Loss: 0.217235
[EVALUATE] Split: test_balanced | Batch 1700/5897 | Loss: 0.217235
