[PRETRAIN] Epoch 0/29 | Batch 100/10684 | Loss: 0.670191 | LR: 4.00e-06
[PRETRAIN] Epoch 0/29 | Batch 200/10684 | Loss: 0.772691 | LR: 4.00e-06
[PRETRAIN] Epoch 0/29 | Batch 300/10684 | Loss: 0.742330 | LR: 4.01e-06
[PRETRAIN] Epoch 0/29 | Batch 400/10684 | Loss: 0.701281 | LR: 4.01e-06
[PRETRAIN] Epoch 0/29 | Batch 500/10684 | Loss: 0.649887 | LR: 4.01e-06
[PRETRAIN] Epoch 0/29 | Batch 600/10684 | Loss: 0.652008 | LR: 4.02e-06
[PRETRAIN] Epoch 0/29 | Batch 700/10684 | Loss: 0.609531 | LR: 4.03e-06
[PRETRAIN] Epoch 0/29 | Batch 800/10684 | Loss: 0.662115 | LR: 4.04e-06
[PRETRAIN] Epoch 0/29 | Batch 900/10684 | Loss: 0.627013 | LR: 4.05e-06
[PRETRAIN] Epoch 0/29 | Batch 1000/10684 | Loss: 0.721372 | LR: 4.06e-06
[PRETRAIN] Epoch 0/29 | Batch 1100/10684 | Loss: 0.782605 | LR: 4.07e-06
[PRETRAIN] Epoch 0/29 | Batch 1200/10684 | Loss: 0.571422 | LR: 4.08e-06
[PRETRAIN] Epoch 0/29 | Batch 1300/10684 | Loss: 0.656503 | LR: 4.10e-06
[PRETRAIN] Epoch 0/29 | Batch 1400/10684 | Loss: 0.593763 | LR: 4.11e-06
[PRETRAIN] Epoch 0/29 | Batch 1500/10684 | Loss: 0.676401 | LR: 4.13e-06
[PRETRAIN] Epoch 0/29 | Batch 1600/10684 | Loss: 0.648370 | LR: 4.15e-06
[PRETRAIN] Epoch 0/29 | Batch 1700/10684 | Loss: 0.702548 | LR: 4.17e-06
[PRETRAIN] Epoch 0/29 | Batch 1800/10684 | Loss: 0.614081 | LR: 4.19e-06
[PRETRAIN] Epoch 0/29 | Batch 1900/10684 | Loss: 0.742273 | LR: 4.21e-06
[PRETRAIN] Epoch 0/29 | Batch 2000/10684 | Loss: 0.700755 | LR: 4.23e-06
[PRETRAIN] Epoch 0/29 | Batch 2100/10684 | Loss: 0.601367 | LR: 4.25e-06
[PRETRAIN] Epoch 0/29 | Batch 2200/10684 | Loss: 0.676722 | LR: 4.28e-06
[PRETRAIN] Epoch 0/29 | Batch 2300/10684 | Loss: 0.621669 | LR: 4.30e-06
[PRETRAIN] Epoch 0/29 | Batch 2400/10684 | Loss: 0.673031 | LR: 4.33e-06
[PRETRAIN] Epoch 0/29 | Batch 2500/10684 | Loss: 0.684429 | LR: 4.36e-06
[PRETRAIN] Epoch 0/29 | Batch 2600/10684 | Loss: 0.512542 | LR: 4.39e-06
[PRETRAIN] Epoch 0/29 | Batch 2700/10684 | Loss: 0.682331 | LR: 4.42e-06
[PRETRAIN] Epoch 0/29 | Batch 2800/10684 | Loss: 0.596435 | LR: 4.45e-06
[PRETRAIN] Epoch 0/29 | Batch 2900/10684 | Loss: 0.692426 | LR: 4.48e-06
[PRETRAIN] Epoch 0/29 | Batch 3000/10684 | Loss: 0.664098 | LR: 4.52e-06
[PRETRAIN] Epoch 0/29 | Batch 3100/10684 | Loss: 0.622244 | LR: 4.55e-06
[PRETRAIN] Epoch 0/29 | Batch 3200/10684 | Loss: 0.719235 | LR: 4.59e-06
[PRETRAIN] Epoch 0/29 | Batch 3300/10684 | Loss: 0.610271 | LR: 4.63e-06
[PRETRAIN] Epoch 0/29 | Batch 3400/10684 | Loss: 0.606224 | LR: 4.66e-06
[PRETRAIN] Epoch 0/29 | Batch 3500/10684 | Loss: 0.641504 | LR: 4.70e-06
[PRETRAIN] Epoch 0/29 | Batch 3600/10684 | Loss: 0.735018 | LR: 4.75e-06
[PRETRAIN] Epoch 0/29 | Batch 3700/10684 | Loss: 0.657403 | LR: 4.79e-06
[PRETRAIN] Epoch 0/29 | Batch 3800/10684 | Loss: 0.695830 | LR: 4.83e-06
[PRETRAIN] Epoch 0/29 | Batch 3900/10684 | Loss: 0.670727 | LR: 4.87e-06
[PRETRAIN] Epoch 0/29 | Batch 4000/10684 | Loss: 0.693509 | LR: 4.92e-06
[PRETRAIN] Epoch 0/29 | Batch 4100/10684 | Loss: 0.549476 | LR: 4.97e-06
[PRETRAIN] Epoch 0/29 | Batch 4200/10684 | Loss: 0.557409 | LR: 5.01e-06
[PRETRAIN] Epoch 0/29 | Batch 4300/10684 | Loss: 0.576854 | LR: 5.06e-06
[PRETRAIN] Epoch 0/29 | Batch 4400/10684 | Loss: 0.727791 | LR: 5.11e-06
[PRETRAIN] Epoch 0/29 | Batch 4500/10684 | Loss: 0.703120 | LR: 5.16e-06
[PRETRAIN] Epoch 0/29 | Batch 4600/10684 | Loss: 0.558611 | LR: 5.21e-06
[PRETRAIN] Epoch 0/29 | Batch 4700/10684 | Loss: 0.641100 | LR: 5.27e-06
[PRETRAIN] Epoch 0/29 | Batch 4800/10684 | Loss: 0.618677 | LR: 5.32e-06
[PRETRAIN] Epoch 0/29 | Batch 4900/10684 | Loss: 0.677655 | LR: 5.38e-06
[PRETRAIN] Epoch 0/29 | Batch 5000/10684 | Loss: 0.684547 | LR: 5.43e-06
[PRETRAIN] Epoch 0/29 | Batch 5100/10684 | Loss: 0.618399 | LR: 5.49e-06
[PRETRAIN] Epoch 0/29 | Batch 5200/10684 | Loss: 0.683488 | LR: 5.55e-06
[PRETRAIN] Epoch 0/29 | Batch 5300/10684 | Loss: 0.628105 | LR: 5.61e-06
[PRETRAIN] Epoch 0/29 | Batch 5400/10684 | Loss: 0.627588 | LR: 5.67e-06
[PRETRAIN] Epoch 0/29 | Batch 5500/10684 | Loss: 0.646268 | LR: 5.73e-06
[PRETRAIN] Epoch 0/29 | Batch 5600/10684 | Loss: 0.734606 | LR: 5.80e-06
[PRETRAIN] Epoch 0/29 | Batch 5700/10684 | Loss: 0.616040 | LR: 5.86e-06
[PRETRAIN] Epoch 0/29 | Batch 5800/10684 | Loss: 0.682444 | LR: 5.93e-06
[PRETRAIN] Epoch 0/29 | Batch 5900/10684 | Loss: 0.642610 | LR: 5.99e-06
[PRETRAIN] Epoch 0/29 | Batch 6000/10684 | Loss: 0.627410 | LR: 6.06e-06
[PRETRAIN] Epoch 0/29 | Batch 6100/10684 | Loss: 0.637137 | LR: 6.13e-06
[PRETRAIN] Epoch 0/29 | Batch 6200/10684 | Loss: 0.570949 | LR: 6.20e-06
[PRETRAIN] Epoch 0/29 | Batch 6300/10684 | Loss: 0.500624 | LR: 6.27e-06
[PRETRAIN] Epoch 0/29 | Batch 6400/10684 | Loss: 0.659022 | LR: 6.34e-06
[PRETRAIN] Epoch 0/29 | Batch 6500/10684 | Loss: 0.654579 | LR: 6.41e-06
[PRETRAIN] Epoch 0/29 | Batch 6600/10684 | Loss: 0.662240 | LR: 6.49e-06
[PRETRAIN] Epoch 0/29 | Batch 6700/10684 | Loss: 0.700852 | LR: 6.56e-06
[PRETRAIN] Epoch 0/29 | Batch 6800/10684 | Loss: 0.627956 | LR: 6.64e-06
[PRETRAIN] Epoch 0/29 | Batch 6900/10684 | Loss: 0.608231 | LR: 6.72e-06
[PRETRAIN] Epoch 0/29 | Batch 7000/10684 | Loss: 0.641657 | LR: 6.80e-06
[PRETRAIN] Epoch 0/29 | Batch 7100/10684 | Loss: 0.601374 | LR: 6.88e-06
[PRETRAIN] Epoch 0/29 | Batch 7200/10684 | Loss: 0.630237 | LR: 6.96e-06
[PRETRAIN] Epoch 0/29 | Batch 7300/10684 | Loss: 0.577243 | LR: 7.04e-06
[PRETRAIN] Epoch 0/29 | Batch 7400/10684 | Loss: 0.675361 | LR: 7.12e-06
[PRETRAIN] Epoch 0/29 | Batch 7500/10684 | Loss: 0.479983 | LR: 7.21e-06
[PRETRAIN] Epoch 0/29 | Batch 7600/10684 | Loss: 0.669240 | LR: 7.29e-06
[PRETRAIN] Epoch 0/29 | Batch 7700/10684 | Loss: 0.564678 | LR: 7.38e-06
[PRETRAIN] Epoch 0/29 | Batch 7800/10684 | Loss: 0.554220 | LR: 7.46e-06
[PRETRAIN] Epoch 0/29 | Batch 7900/10684 | Loss: 0.620877 | LR: 7.55e-06
[PRETRAIN] Epoch 0/29 | Batch 8000/10684 | Loss: 0.525436 | LR: 7.64e-06
[PRETRAIN] Epoch 0/29 | Batch 8100/10684 | Loss: 0.588427 | LR: 7.73e-06
[PRETRAIN] Epoch 0/29 | Batch 8200/10684 | Loss: 0.553767 | LR: 7.82e-06
[PRETRAIN] Epoch 0/29 | Batch 8300/10684 | Loss: 0.597189 | LR: 7.92e-06
[PRETRAIN] Epoch 0/29 | Batch 8400/10684 | Loss: 0.548616 | LR: 8.01e-06
[PRETRAIN] Epoch 0/29 | Batch 8500/10684 | Loss: 0.590206 | LR: 8.10e-06
[PRETRAIN] Epoch 0/29 | Batch 8600/10684 | Loss: 0.623891 | LR: 8.20e-06
[PRETRAIN] Epoch 0/29 | Batch 8700/10684 | Loss: 0.528898 | LR: 8.30e-06
[PRETRAIN] Epoch 0/29 | Batch 8800/10684 | Loss: 0.530577 | LR: 8.40e-06
[PRETRAIN] Epoch 0/29 | Batch 8900/10684 | Loss: 0.586171 | LR: 8.49e-06
[PRETRAIN] Epoch 0/29 | Batch 9000/10684 | Loss: 0.657363 | LR: 8.59e-06
[PRETRAIN] Epoch 0/29 | Batch 9100/10684 | Loss: 0.626608 | LR: 8.69e-06
[PRETRAIN] Epoch 0/29 | Batch 9200/10684 | Loss: 0.510598 | LR: 8.80e-06
[PRETRAIN] Epoch 0/29 | Batch 9300/10684 | Loss: 0.508434 | LR: 8.90e-06
[PRETRAIN] Epoch 0/29 | Batch 9400/10684 | Loss: 0.632841 | LR: 9.00e-06
[PRETRAIN] Epoch 0/29 | Batch 9500/10684 | Loss: 0.720571 | LR: 9.11e-06
[PRETRAIN] Epoch 0/29 | Batch 9600/10684 | Loss: 0.554508 | LR: 9.22e-06
[PRETRAIN] Epoch 0/29 | Batch 9700/10684 | Loss: 0.459792 | LR: 9.32e-06
[PRETRAIN] Epoch 0/29 | Batch 9800/10684 | Loss: 0.538732 | LR: 9.43e-06
[PRETRAIN] Epoch 0/29 | Batch 9900/10684 | Loss: 0.545921 | LR: 9.54e-06
[PRETRAIN] Epoch 0/29 | Batch 10000/10684 | Loss: 0.702494 | LR: 9.65e-06
[PRETRAIN] Epoch 0/29 | Batch 10100/10684 | Loss: 0.670440 | LR: 9.76e-06
[PRETRAIN] Epoch 0/29 | Batch 10200/10684 | Loss: 0.504504 | LR: 9.87e-06
[PRETRAIN] Epoch 0/29 | Batch 10300/10684 | Loss: 0.521042 | LR: 9.99e-06
[PRETRAIN] Epoch 0/29 | Batch 10400/10684 | Loss: 0.800208 | LR: 1.01e-05
[PRETRAIN] Epoch 0/29 | Batch 10500/10684 | Loss: 0.687826 | LR: 1.02e-05
