[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.000073
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.000073
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.000073
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.000073
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 6.181401
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 6.181401
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 6.181401
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 6.181401
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 1.607096
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 1.607096
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 1.607096
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 1.607096
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.864137
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.864137
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.864137
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.864137
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 1.046605
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 1.046605
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 1.046605
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.036809
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 1.046605
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.036809
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.036809
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 2.680268
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.036809
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 2.680268
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 2.680268
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 3.096448
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 2.680268
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 3.096448
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 3.096448
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 2.304945
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 3.096448
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 2.304945
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 2.304945
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 1.002291
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 2.304945
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 1.002291
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.004867
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 1.002291
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.004867
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 1.002291
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.362129
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.004867
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.362129
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.004867
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.000312
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.362129
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.000312
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.362129
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.873044
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.000312
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.873044
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.000312
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.130491
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.873044
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.130491
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.613132
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.130491
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.873044
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.613132
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.328430
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.613132
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.130491
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.328430
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 2.613059
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.328430
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.613132
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 2.613059
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.995985
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 2.613059
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 2.793545
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.995985
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.328430
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.995985
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 3.432537
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 2.793545
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 2.613059
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 2.793545
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 1.041052
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 3.432537
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 3.432537
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.995985
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 1.922451
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 1.041052
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 1.041052
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 2.793545
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 1.863666
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 1.922451
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 1.922451
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.549823
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 3.432537
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 1.863666
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 1.863666
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 2.178228
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.549823
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 1.041052
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.549823
[EVALUATE] Split: test_balanced | Batch 1350/5897 | Loss: 0.173409
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 2.178228
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 1.922451
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 2.178228
[EVALUATE] Split: test_balanced | Batch 1400/5897 | Loss: 0.274641
[EVALUATE] Split: test_balanced | Batch 1350/5897 | Loss: 0.173409
[EVALUATE] Split: test_balanced | Batch 1350/5897 | Loss: 0.173409
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 1.863666
[EVALUATE] Split: test_balanced | Batch 1450/5897 | Loss: 0.514107
[EVALUATE] Split: test_balanced | Batch 1400/5897 | Loss: 0.274641
[EVALUATE] Split: test_balanced | Batch 1400/5897 | Loss: 0.274641
[EVALUATE] Split: test_balanced | Batch 1500/5897 | Loss: 0.298402
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.549823
[EVALUATE] Split: test_balanced | Batch 1450/5897 | Loss: 0.514107
[EVALUATE] Split: test_balanced | Batch 1450/5897 | Loss: 0.514107
[EVALUATE] Split: test_balanced | Batch 1550/5897 | Loss: 0.255928
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 2.178228
