[FINETUNE] Epoch 0/29 | Batch 100/3845 | Loss: 2.293844 | LR: 3.03e-07
[FINETUNE] Epoch 0/29 | Batch 200/3845 | Loss: 1.936975 | LR: 6.07e-07
[FINETUNE] Epoch 0/29 | Batch 300/3845 | Loss: 1.104341 | LR: 9.10e-07
[FINETUNE] Epoch 0/29 | Batch 400/3845 | Loss: 1.167638 | LR: 1.21e-06
[FINETUNE] Epoch 0/29 | Batch 500/3845 | Loss: 1.201559 | LR: 1.52e-06
[FINETUNE] Epoch 0/29 | Batch 600/3845 | Loss: 0.792586 | LR: 1.82e-06
[FINETUNE] Epoch 0/29 | Batch 700/3845 | Loss: 1.096937 | LR: 2.12e-06
[FINETUNE] Epoch 0/29 | Batch 800/3845 | Loss: 0.860396 | LR: 2.43e-06
[FINETUNE] Epoch 0/29 | Batch 900/3845 | Loss: 0.692674 | LR: 2.73e-06
[FINETUNE] Epoch 0/29 | Batch 1000/3845 | Loss: 0.984158 | LR: 3.03e-06
[FINETUNE] Epoch 0/29 | Batch 1100/3845 | Loss: 0.772982 | LR: 3.34e-06
[FINETUNE] Epoch 0/29 | Batch 1200/3845 | Loss: 0.712116 | LR: 3.64e-06
[FINETUNE] Epoch 0/29 | Batch 1300/3845 | Loss: 0.693251 | LR: 3.94e-06
[FINETUNE] Epoch 0/29 | Batch 1400/3845 | Loss: 0.825079 | LR: 4.25e-06
[FINETUNE] Epoch 0/29 | Batch 1500/3845 | Loss: 0.689770 | LR: 4.55e-06
[FINETUNE] Epoch 0/29 | Batch 1600/3845 | Loss: 1.218095 | LR: 4.85e-06
[FINETUNE] Epoch 0/29 | Batch 1700/3845 | Loss: 0.743034 | LR: 5.16e-06
[FINETUNE] Epoch 0/29 | Batch 1800/3845 | Loss: 0.637366 | LR: 5.46e-06
[FINETUNE] Epoch 0/29 | Batch 1900/3845 | Loss: 0.687946 | LR: 5.77e-06
[FINETUNE] Epoch 0/29 | Batch 2000/3845 | Loss: 0.652108 | LR: 6.07e-06
[FINETUNE] Epoch 0/29 | Batch 2100/3845 | Loss: 0.672817 | LR: 6.37e-06
[FINETUNE] Epoch 0/29 | Batch 2200/3845 | Loss: 0.325017 | LR: 6.68e-06
[FINETUNE] Epoch 0/29 | Batch 2300/3845 | Loss: 0.395303 | LR: 6.98e-06
[FINETUNE] Epoch 0/29 | Batch 2400/3845 | Loss: 0.634558 | LR: 7.28e-06
[FINETUNE] Epoch 0/29 | Batch 2500/3845 | Loss: 0.535279 | LR: 7.59e-06
[FINETUNE] Epoch 0/29 | Batch 2600/3845 | Loss: 0.370505 | LR: 7.89e-06
[FINETUNE] Epoch 0/29 | Batch 2700/3845 | Loss: 0.554122 | LR: 8.19e-06
[FINETUNE] Epoch 0/29 | Batch 2800/3845 | Loss: 0.452902 | LR: 8.50e-06
[FINETUNE] Epoch 0/29 | Batch 2900/3845 | Loss: 0.508414 | LR: 8.80e-06
[FINETUNE] Epoch 0/29 | Batch 3000/3845 | Loss: 0.448324 | LR: 9.10e-06
[FINETUNE] Epoch 0/29 | Batch 3100/3845 | Loss: 0.672012 | LR: 9.41e-06
[FINETUNE] Epoch 0/29 | Batch 3200/3845 | Loss: 1.354254 | LR: 9.71e-06
[FINETUNE] Epoch 0/29 | Batch 3300/3845 | Loss: 0.425135 | LR: 1.00e-05
[FINETUNE] Epoch 0/29 | Batch 3400/3845 | Loss: 0.509668 | LR: 1.03e-05
[FINETUNE] Epoch 0/29 | Batch 3500/3845 | Loss: 0.662549 | LR: 1.06e-05
[FINETUNE] Epoch 0/29 | Batch 3600/3845 | Loss: 0.949557 | LR: 1.09e-05
[FINETUNE] Epoch 0/29 | Batch 3700/3845 | Loss: 0.504952 | LR: 1.12e-05
[FINETUNE] Epoch 0/29 | Batch 3800/3845 | Loss: 0.692840 | LR: 1.15e-05
[FINETUNE] Epoch 1/29 | Batch 100/3845 | Loss: 0.741346 | LR: 1.20e-05
[FINETUNE] Epoch 1/29 | Batch 200/3845 | Loss: 0.531383 | LR: 1.23e-05
[FINETUNE] Epoch 1/29 | Batch 300/3845 | Loss: 0.620165 | LR: 1.26e-05
[FINETUNE] Epoch 1/29 | Batch 400/3845 | Loss: 0.652396 | LR: 1.29e-05
[FINETUNE] Epoch 1/29 | Batch 500/3845 | Loss: 0.379725 | LR: 1.32e-05
[FINETUNE] Epoch 1/29 | Batch 600/3845 | Loss: 0.546902 | LR: 1.35e-05
[FINETUNE] Epoch 1/29 | Batch 700/3845 | Loss: 0.539888 | LR: 1.38e-05
[FINETUNE] Epoch 1/29 | Batch 800/3845 | Loss: 0.557835 | LR: 1.41e-05
[FINETUNE] Epoch 1/29 | Batch 900/3845 | Loss: 0.602350 | LR: 1.44e-05
[FINETUNE] Epoch 1/29 | Batch 1000/3845 | Loss: 0.647029 | LR: 1.47e-05
[FINETUNE] Epoch 1/29 | Batch 1100/3845 | Loss: 0.424821 | LR: 1.50e-05
[FINETUNE] Epoch 1/29 | Batch 1200/3845 | Loss: 0.413143 | LR: 1.53e-05
[FINETUNE] Epoch 1/29 | Batch 1300/3845 | Loss: 0.600029 | LR: 1.56e-05
[FINETUNE] Epoch 1/29 | Batch 1400/3845 | Loss: 0.364421 | LR: 1.59e-05
[FINETUNE] Epoch 1/29 | Batch 1500/3845 | Loss: 0.676584 | LR: 1.62e-05
[FINETUNE] Epoch 1/29 | Batch 1600/3845 | Loss: 0.472689 | LR: 1.65e-05
[FINETUNE] Epoch 1/29 | Batch 1700/3845 | Loss: 0.469628 | LR: 1.68e-05
[FINETUNE] Epoch 1/29 | Batch 1800/3845 | Loss: 0.633319 | LR: 1.71e-05
[FINETUNE] Epoch 1/29 | Batch 1900/3845 | Loss: 0.710267 | LR: 1.74e-05
[FINETUNE] Epoch 1/29 | Batch 2000/3845 | Loss: 0.293580 | LR: 1.77e-05
[FINETUNE] Epoch 1/29 | Batch 2100/3845 | Loss: 0.453916 | LR: 1.80e-05
[FINETUNE] Epoch 1/29 | Batch 2200/3845 | Loss: 0.610111 | LR: 1.83e-05
[FINETUNE] Epoch 1/29 | Batch 2300/3845 | Loss: 0.440328 | LR: 1.86e-05
[FINETUNE] Epoch 1/29 | Batch 2400/3845 | Loss: 0.555737 | LR: 1.89e-05
[FINETUNE] Epoch 1/29 | Batch 2500/3845 | Loss: 0.567023 | LR: 1.93e-05
[FINETUNE] Epoch 1/29 | Batch 2600/3845 | Loss: 0.448621 | LR: 1.96e-05
[FINETUNE] Epoch 1/29 | Batch 2700/3845 | Loss: 0.452112 | LR: 1.99e-05
[FINETUNE] Epoch 1/29 | Batch 2800/3845 | Loss: 0.868929 | LR: 2.02e-05
[FINETUNE] Epoch 1/29 | Batch 2900/3845 | Loss: 0.504018 | LR: 2.05e-05
[FINETUNE] Epoch 1/29 | Batch 3000/3845 | Loss: 0.458649 | LR: 2.08e-05
[FINETUNE] Epoch 1/29 | Batch 3100/3845 | Loss: 0.428973 | LR: 2.11e-05
[FINETUNE] Epoch 1/29 | Batch 3200/3845 | Loss: 0.333245 | LR: 2.14e-05
[FINETUNE] Epoch 1/29 | Batch 3300/3845 | Loss: 0.406793 | LR: 2.17e-05
[FINETUNE] Epoch 1/29 | Batch 3400/3845 | Loss: 0.433904 | LR: 2.20e-05
[FINETUNE] Epoch 1/29 | Batch 3500/3845 | Loss: 0.275671 | LR: 2.23e-05
