[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.518743
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 1.960293
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.797440
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 0.735355
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.453669
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.231446
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 1.644523
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 2.577905
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 1.641735
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.792679
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 0.973889
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 0.703097
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.098262
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.681387
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.275031
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.450584
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.393417
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 0.803784
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.952415
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 1.633585
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 1.105392
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 0.412095
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 2.814915
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 1.219275
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.400211
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 0.685683
[EVALUATE] Split: test_balanced | Batch 1350/5897 | Loss: 0.537924
[EVALUATE] Split: test_balanced | Batch 1400/5897 | Loss: 0.156392
[EVALUATE] Split: test_balanced | Batch 1450/5897 | Loss: 0.291375
[EVALUATE] Split: test_balanced | Batch 1500/5897 | Loss: 0.534926
[EVALUATE] Split: test_balanced | Batch 1550/5897 | Loss: 0.356864
[EVALUATE] Split: test_balanced | Batch 1600/5897 | Loss: 0.175606
[EVALUATE] Split: test_balanced | Batch 1650/5897 | Loss: 0.686713
[EVALUATE] Split: test_balanced | Batch 1700/5897 | Loss: 1.719925
[EVALUATE] Split: test_balanced | Batch 1750/5897 | Loss: 0.909252
[EVALUATE] Split: test_balanced | Batch 1800/5897 | Loss: 1.071616
[EVALUATE] Split: test_balanced | Batch 1850/5897 | Loss: 2.414124
[EVALUATE] Split: test_balanced | Batch 1900/5897 | Loss: 0.634760
[EVALUATE] Split: test_balanced | Batch 1950/5897 | Loss: 0.961485
[EVALUATE] Split: test_balanced | Batch 2000/5897 | Loss: 1.355883
[EVALUATE] Split: test_balanced | Batch 2050/5897 | Loss: 0.452110
[EVALUATE] Split: test_balanced | Batch 2100/5897 | Loss: 0.341400
[EVALUATE] Split: test_balanced | Batch 2150/5897 | Loss: 1.265853
[EVALUATE] Split: test_balanced | Batch 2200/5897 | Loss: 0.817442
[EVALUATE] Split: test_balanced | Batch 2250/5897 | Loss: 1.064179
[EVALUATE] Split: test_balanced | Batch 2300/5897 | Loss: 0.896541
[EVALUATE] Split: test_balanced | Batch 2350/5897 | Loss: 1.565641
[EVALUATE] Split: test_balanced | Batch 2400/5897 | Loss: 2.249921
[EVALUATE] Split: test_balanced | Batch 2450/5897 | Loss: 1.136335
[EVALUATE] Split: test_balanced | Batch 2500/5897 | Loss: 1.102915
[EVALUATE] Split: test_balanced | Batch 2550/5897 | Loss: 1.685197
[EVALUATE] Split: test_balanced | Batch 2600/5897 | Loss: 2.413981
[EVALUATE] Split: test_balanced | Batch 2650/5897 | Loss: 0.578204
[EVALUATE] Split: test_balanced | Batch 2700/5897 | Loss: 0.238011
[EVALUATE] Split: test_balanced | Batch 2750/5897 | Loss: 2.355804
[EVALUATE] Split: test_balanced | Batch 2800/5897 | Loss: 0.552354
[EVALUATE] Split: test_balanced | Batch 2850/5897 | Loss: 2.180910
[EVALUATE] Split: test_balanced | Batch 2900/5897 | Loss: 1.536208
[EVALUATE] Split: test_balanced | Batch 2950/5897 | Loss: 0.164956
[EVALUATE] Split: test_balanced | Batch 3000/5897 | Loss: 0.475791
[EVALUATE] Split: test_balanced | Batch 3050/5897 | Loss: 1.142599
[EVALUATE] Split: test_balanced | Batch 3100/5897 | Loss: 1.688748
[EVALUATE] Split: test_balanced | Batch 3150/5897 | Loss: 0.670089
[EVALUATE] Split: test_balanced | Batch 3200/5897 | Loss: 0.312346
[EVALUATE] Split: test_balanced | Batch 3250/5897 | Loss: 1.311149
[EVALUATE] Split: test_balanced | Batch 3300/5897 | Loss: 0.243166
[EVALUATE] Split: test_balanced | Batch 3350/5897 | Loss: 0.616487
[EVALUATE] Split: test_balanced | Batch 3400/5897 | Loss: 0.241662
[EVALUATE] Split: test_balanced | Batch 3450/5897 | Loss: 0.503575
[EVALUATE] Split: test_balanced | Batch 3500/5897 | Loss: 0.343358
[EVALUATE] Split: test_balanced | Batch 3550/5897 | Loss: 0.411235
[EVALUATE] Split: test_balanced | Batch 3600/5897 | Loss: 0.093217
[EVALUATE] Split: test_balanced | Batch 3650/5897 | Loss: 0.740490
[EVALUATE] Split: test_balanced | Batch 3700/5897 | Loss: 0.281105
[EVALUATE] Split: test_balanced | Batch 3750/5897 | Loss: 0.665861
[EVALUATE] Split: test_balanced | Batch 3800/5897 | Loss: 0.638703
[EVALUATE] Split: test_balanced | Batch 3850/5897 | Loss: 0.513278
[EVALUATE] Split: test_balanced | Batch 3900/5897 | Loss: 1.246597
[EVALUATE] Split: test_balanced | Batch 3950/5897 | Loss: 1.459443
[EVALUATE] Split: test_balanced | Batch 4000/5897 | Loss: 0.387490
