[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.000145
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.000145
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.000145
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.000145
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 4.018940
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 4.018940
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 4.018940
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 4.018940
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.979419
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.979419
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.979419
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.979419
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 1.038587
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 1.038587
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 1.038587
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 1.038587
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 1.290175
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 1.290175
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 1.290175
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 1.290175
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.014937
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.014937
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.014937
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.014937
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 3.275840
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 3.275840
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 3.275840
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 3.275840
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 3.658141
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 3.658141
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 3.658141
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 3.658141
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 1.909882
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 1.909882
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 1.909882
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 1.909882
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.770001
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.770001
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.770001
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.770001
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.875513
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.875513
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.875513
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.875513
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.448539
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.448539
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.448539
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.448539
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.008244
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.008244
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.008244
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.008244
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 1.601459
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 1.601459
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 1.601459
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 1.601459
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.148440
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.148440
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.148440
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.148440
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.710446
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.710446
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.710446
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.710446
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.764889
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.764889
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.764889
[EVALUATE] Split: test_balanced | Batch 850/5897 | Loss: 0.764889
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 2.066957
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 2.066957
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 2.066957
[EVALUATE] Split: test_balanced | Batch 900/5897 | Loss: 2.066957
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.732901
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.732901
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.732901
[EVALUATE] Split: test_balanced | Batch 950/5897 | Loss: 0.732901
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 3.471882
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 3.471882
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 3.471882
[EVALUATE] Split: test_balanced | Batch 1000/5897 | Loss: 3.471882
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 2.601439
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 2.601439
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 2.601439
[EVALUATE] Split: test_balanced | Batch 1050/5897 | Loss: 2.601439
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 0.256100
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 0.256100
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 0.256100
[EVALUATE] Split: test_balanced | Batch 1100/5897 | Loss: 0.256100
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 3.446191
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 3.446191
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 3.446191
[EVALUATE] Split: test_balanced | Batch 1150/5897 | Loss: 3.446191
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 1.437684
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 1.437684
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 1.437684
[EVALUATE] Split: test_balanced | Batch 1200/5897 | Loss: 1.437684
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.884480
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.884480
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.884480
[EVALUATE] Split: test_balanced | Batch 1250/5897 | Loss: 0.884480
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 1.523267
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 1.523267
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 1.523267
[EVALUATE] Split: test_balanced | Batch 1300/5897 | Loss: 1.523267
[EVALUATE] Split: test_balanced | Batch 1350/5897 | Loss: 0.161352
[EVALUATE] Split: test_balanced | Batch 1350/5897 | Loss: 0.161352
[EVALUATE] Split: test_balanced | Batch 1350/5897 | Loss: 0.161352
[EVALUATE] Split: test_balanced | Batch 1350/5897 | Loss: 0.161352
