split,auroc,auprc,accuracy,sensitivity,specificity,precision,recall,f1,mcc
test_balanced,0.7578635811805725,0.09696730226278305,0.8493179678916931,0.5118003487586975,0.8581051230430603,0.08584314584732056,0.5118003487586975,0.1470259577035904,0.16234157979488373
split,auroc,auprc,accuracy,sensitivity,specificity,precision,recall,f1,mcc
test_balanced,0.7578635811805725,0.09696730226278305,0.8493179678916931,0.5118003487586975,0.8581051230430603,0.08584314584732056,0.5118003487586975,0.1470259577035904,0.16234157979488373
split,auroc,auprc,accuracy,sensitivity,specificity,precision,recall,f1,mcc
test_balanced,0.7578635811805725,0.09696730226278305,0.8493179678916931,0.5118003487586975,0.8581051230430603,0.08584314584732056,0.5118003487586975,0.1470259577035904,0.16234157979488373
split,auroc,auprc,accuracy,sensitivity,specificity,precision,recall,f1,mcc
test_balanced,0.7578635811805725,0.09696730226278305,0.8493179678916931,0.5118003487586975,0.8581051230430603,0.08584314584732056,0.5118003487586975,0.1470259577035904,0.16234157979488373
test_balanced,0.7574723362922668,0.09624788910150528,0.8491390943527222,0.5114870667457581,0.8579297661781311,0.08569829165935516,0.5114870667457581,0.14680053293704987,0.16205552220344543
test_balanced,0.7574723362922668,0.09624788910150528,0.8491390943527222,0.5114870667457581,0.8579297661781311,0.08569829165935516,0.5114870667457581,0.14680053293704987,0.16205552220344543
test_balanced,0.7574723362922668,0.09624788910150528,0.8491390943527222,0.5114870667457581,0.8579297661781311,0.08569829165935516,0.5114870667457581,0.14680053293704987,0.16205552220344543
test_balanced,0.7574723362922668,0.09624788910150528,0.8491390943527222,0.5114870667457581,0.8579297661781311,0.08569829165935516,0.5114870667457581,0.14680053293704987,0.16205552220344543
