Epoch,Epoch Time,Train Loss,Val Loss,Val auprc,Val auroc,Learning Rate
0,1918.656819,1.0220447490057183,0.39320883111780364,0.1494082361459732,0.9158932566642761,6.666666666666667e-06
1,1914.389803,0.6046171292565734,0.35801286683081224,0.2025683969259262,0.9360508918762207,1.3333333333333333e-05
2,8878.060815,0.7517308470053532,0.18032180761989589,0.2755970358848572,0.940571665763855,1.5556133506718682e-05
3,8890.553692,0.6898776942314856,0.18452560875568516,0.28003641963005066,0.9410609602928162,2.222800173385349e-06
4,8941.640005,0.6834307984331283,0.19958164343575222,0.3033492863178253,0.9429689049720764,4.445600346770698e-06
5,9031.35651,0.6804260777980786,0.20657223454339144,0.312205970287323,0.9442775249481201,2.222800173385349e-06
6,9031.527294,0.677412539023133,0.21668773525615526,0.3447049856185913,0.948218584060669,4.445600346770698e-06
7,9050.493382,0.670581584601618,0.22824768007792054,0.3933528661727905,0.9532811045646667,6.668400520156048e-06
8,9048.521653,0.6619045200660336,0.22729312819338135,0.45139575004577637,0.959314227104187,8.891200693541396e-06
9,9053.579918,0.6544327769841122,0.2124644198644197,0.5127090215682983,0.9647144675254822,1.1114000866926747e-05
10,9099.803511,0.6397250034321861,0.192192391460549,0.5703350305557251,0.9685744047164917,1.3336801040312096e-05
11,9043.397173,0.6210551161010998,0.17002208158130452,0.6260563135147095,0.9718582034111023,1.5559601213697443e-05
12,9055.606966,0.5941047248155948,0.125255526091595,0.6748047471046448,0.9751039743423462,1.7782401387082792e-05
13,9062.602315,0.561641391721233,0.10862754748433409,0.7176944017410278,0.9777477979660034,1.9999999958791005e-05
14,9062.820687,0.5318407380078772,0.08888174594506809,0.7495274543762207,0.9797850847244263,1.9992440360903945e-05
15,9067.425689,0.5095707552853315,0.07703725721260106,0.7725591063499451,0.9815306663513184,1.996984336575419e-05
16,9048.391802,0.48729306106076414,0.07196795704300102,0.7897704243659973,0.9834423661231995,1.9932242979048128e-05
17,9081.936664,0.4692515492694984,0.06818286990547126,0.7986104488372803,0.9834730625152588,1.987969578475641e-05
18,9053.733585,0.4551191914262898,0.06426203471407804,0.8121130466461182,0.9854916334152222,1.9812280859962016e-05
19,9049.123145,0.4406915594607173,0.06037108946500084,0.8193618059158325,0.9859299659729004,1.9730099655858953e-05
20,9062.272277,0.4335849626504129,0.05812867824758018,0.8266148567199707,0.9863884449005127,1.9633275845080616e-05
21,9043.342118,0.41811297436400247,0.05514271349464014,0.8327345252037048,0.9871397614479065,1.9521955135587695e-05
22,9060.888375,0.4090108194863554,0.054281623721410564,0.837241530418396,0.987201452255249,1.939630505139551e-05
23,9057.409492,0.39851985482408925,0.049983612854632105,0.8412970304489136,0.987521767616272,1.9256514680470958e-05
24,9060.476333,0.3865371248256212,0.04835556476161216,0.8454108238220215,0.988085150718689,1.9102794390178273e-05
25,9050.253584,0.3851699984738496,0.04964118706893894,0.847489595413208,0.9879525899887085,1.8935375510701985e-05
