[FINETUNE] Epoch 0/29 | Batch 100/3845 | Loss: 2.451109 | LR: 1.73e-07
[FINETUNE] Epoch 0/29 | Batch 200/3845 | Loss: 1.323265 | LR: 3.47e-07
[FINETUNE] Epoch 0/29 | Batch 300/3845 | Loss: 1.470516 | LR: 5.20e-07
[FINETUNE] Epoch 0/29 | Batch 400/3845 | Loss: 1.101598 | LR: 6.94e-07
[FINETUNE] Epoch 0/29 | Batch 500/3845 | Loss: 2.122468 | LR: 8.67e-07
[FINETUNE] Epoch 0/29 | Batch 600/3845 | Loss: 2.087489 | LR: 1.04e-06
[FINETUNE] Epoch 0/29 | Batch 700/3845 | Loss: 1.484682 | LR: 1.21e-06
[FINETUNE] Epoch 0/29 | Batch 800/3845 | Loss: 1.232313 | LR: 1.39e-06
[FINETUNE] Epoch 0/29 | Batch 900/3845 | Loss: 0.969824 | LR: 1.56e-06
[FINETUNE] Epoch 0/29 | Batch 1000/3845 | Loss: 0.777680 | LR: 1.73e-06
[FINETUNE] Epoch 0/29 | Batch 1100/3845 | Loss: 0.877888 | LR: 1.91e-06
[FINETUNE] Epoch 0/29 | Batch 1200/3845 | Loss: 1.001001 | LR: 2.08e-06
[FINETUNE] Epoch 0/29 | Batch 1300/3845 | Loss: 1.129179 | LR: 2.25e-06
[FINETUNE] Epoch 0/29 | Batch 1400/3845 | Loss: 0.658407 | LR: 2.43e-06
[FINETUNE] Epoch 0/29 | Batch 1500/3845 | Loss: 0.777277 | LR: 2.60e-06
[FINETUNE] Epoch 0/29 | Batch 1600/3845 | Loss: 0.904008 | LR: 2.77e-06
[FINETUNE] Epoch 0/29 | Batch 1700/3845 | Loss: 0.885644 | LR: 2.95e-06
[FINETUNE] Epoch 0/29 | Batch 1800/3845 | Loss: 0.550287 | LR: 3.12e-06
[FINETUNE] Epoch 0/29 | Batch 1900/3845 | Loss: 0.651814 | LR: 3.29e-06
[FINETUNE] Epoch 0/29 | Batch 2000/3845 | Loss: 1.169248 | LR: 3.47e-06
[FINETUNE] Epoch 0/29 | Batch 2100/3845 | Loss: 0.882224 | LR: 3.64e-06
[FINETUNE] Epoch 0/29 | Batch 2200/3845 | Loss: 0.877149 | LR: 3.81e-06
[FINETUNE] Epoch 0/29 | Batch 2300/3845 | Loss: 0.776811 | LR: 3.99e-06
[FINETUNE] Epoch 0/29 | Batch 2400/3845 | Loss: 0.985263 | LR: 4.16e-06
[FINETUNE] Epoch 0/29 | Batch 2500/3845 | Loss: 0.567281 | LR: 4.33e-06
[FINETUNE] Epoch 0/29 | Batch 2600/3845 | Loss: 1.090418 | LR: 4.51e-06
[FINETUNE] Epoch 0/29 | Batch 2700/3845 | Loss: 0.576621 | LR: 4.68e-06
[FINETUNE] Epoch 0/29 | Batch 2800/3845 | Loss: 1.010326 | LR: 4.85e-06
[FINETUNE] Epoch 0/29 | Batch 2900/3845 | Loss: 0.830771 | LR: 5.03e-06
[FINETUNE] Epoch 0/29 | Batch 3000/3845 | Loss: 0.970374 | LR: 5.20e-06
[FINETUNE] Epoch 0/29 | Batch 3100/3845 | Loss: 0.886606 | LR: 5.37e-06
[FINETUNE] Epoch 0/29 | Batch 3200/3845 | Loss: 0.596082 | LR: 5.55e-06
[FINETUNE] Epoch 0/29 | Batch 3300/3845 | Loss: 0.683824 | LR: 5.72e-06
[FINETUNE] Epoch 0/29 | Batch 3400/3845 | Loss: 0.809154 | LR: 5.90e-06
[FINETUNE] Epoch 0/29 | Batch 3500/3845 | Loss: 0.934823 | LR: 6.07e-06
[FINETUNE] Epoch 0/29 | Batch 3600/3845 | Loss: 0.344740 | LR: 6.24e-06
[FINETUNE] Epoch 0/29 | Batch 3700/3845 | Loss: 0.940856 | LR: 6.42e-06
[FINETUNE] Epoch 0/29 | Batch 3800/3845 | Loss: 0.506795 | LR: 6.59e-06
[FINETUNE] Epoch 1/29 | Batch 100/3845 | Loss: 0.813749 | LR: 6.84e-06
[FINETUNE] Epoch 1/29 | Batch 200/3845 | Loss: 0.724330 | LR: 7.01e-06
[FINETUNE] Epoch 1/29 | Batch 300/3845 | Loss: 0.591271 | LR: 7.19e-06
[FINETUNE] Epoch 1/29 | Batch 400/3845 | Loss: 0.798011 | LR: 7.36e-06
[FINETUNE] Epoch 1/29 | Batch 500/3845 | Loss: 0.696992 | LR: 7.53e-06
[FINETUNE] Epoch 1/29 | Batch 600/3845 | Loss: 0.656992 | LR: 7.71e-06
[FINETUNE] Epoch 1/29 | Batch 700/3845 | Loss: 0.764710 | LR: 7.88e-06
[FINETUNE] Epoch 1/29 | Batch 800/3845 | Loss: 0.720038 | LR: 8.05e-06
[FINETUNE] Epoch 1/29 | Batch 900/3845 | Loss: 0.512179 | LR: 8.23e-06
[FINETUNE] Epoch 1/29 | Batch 1000/3845 | Loss: 0.597043 | LR: 8.40e-06
[FINETUNE] Epoch 1/29 | Batch 1100/3845 | Loss: 0.932888 | LR: 8.57e-06
[FINETUNE] Epoch 1/29 | Batch 1200/3845 | Loss: 0.669633 | LR: 8.75e-06
[FINETUNE] Epoch 1/29 | Batch 1300/3845 | Loss: 0.462187 | LR: 8.92e-06
[FINETUNE] Epoch 1/29 | Batch 1400/3845 | Loss: 0.634061 | LR: 9.09e-06
[FINETUNE] Epoch 1/29 | Batch 1500/3845 | Loss: 0.582128 | LR: 9.27e-06
[FINETUNE] Epoch 1/29 | Batch 1600/3845 | Loss: 0.638993 | LR: 9.44e-06
[FINETUNE] Epoch 1/29 | Batch 1700/3845 | Loss: 0.856392 | LR: 9.61e-06
[FINETUNE] Epoch 1/29 | Batch 1800/3845 | Loss: 0.750599 | LR: 9.79e-06
[FINETUNE] Epoch 1/29 | Batch 1900/3845 | Loss: 0.475933 | LR: 9.96e-06
[FINETUNE] Epoch 1/29 | Batch 2000/3845 | Loss: 0.446672 | LR: 1.01e-05
[FINETUNE] Epoch 1/29 | Batch 2100/3845 | Loss: 0.592587 | LR: 1.03e-05
[FINETUNE] Epoch 1/29 | Batch 2200/3845 | Loss: 0.522854 | LR: 1.05e-05
[FINETUNE] Epoch 1/29 | Batch 2300/3845 | Loss: 0.502834 | LR: 1.07e-05
[FINETUNE] Epoch 1/29 | Batch 2400/3845 | Loss: 0.446293 | LR: 1.08e-05
[FINETUNE] Epoch 1/29 | Batch 2500/3845 | Loss: 0.597672 | LR: 1.10e-05
[FINETUNE] Epoch 1/29 | Batch 2600/3845 | Loss: 0.556097 | LR: 1.12e-05
[FINETUNE] Epoch 1/29 | Batch 2700/3845 | Loss: 0.828321 | LR: 1.13e-05
[FINETUNE] Epoch 1/29 | Batch 2800/3845 | Loss: 0.715178 | LR: 1.15e-05
[FINETUNE] Epoch 1/29 | Batch 2900/3845 | Loss: 0.398053 | LR: 1.17e-05
[FINETUNE] Epoch 1/29 | Batch 3000/3845 | Loss: 0.567134 | LR: 1.19e-05
[FINETUNE] Epoch 1/29 | Batch 3100/3845 | Loss: 0.367849 | LR: 1.20e-05
[FINETUNE] Epoch 1/29 | Batch 3200/3845 | Loss: 0.519307 | LR: 1.22e-05
[FINETUNE] Epoch 1/29 | Batch 3300/3845 | Loss: 0.674602 | LR: 1.24e-05
[FINETUNE] Epoch 1/29 | Batch 3400/3845 | Loss: 0.560764 | LR: 1.26e-05
[FINETUNE] Epoch 1/29 | Batch 3500/3845 | Loss: 0.404520 | LR: 1.27e-05
[FINETUNE] Epoch 1/29 | Batch 3600/3845 | Loss: 0.473526 | LR: 1.29e-05
[FINETUNE] Epoch 1/29 | Batch 3700/3845 | Loss: 0.425315 | LR: 1.31e-05
