variant,split,auroc,auprc,accuracy,sensitivity,specificity,precision,recall,f1,mcc
source,test,0.7642760326117839,0.07049318354616255,0.7439524677747625,0.6821219715956558,0.745562419786387,0.06525083411583721,0.6821219715956558,0.11910796666727448,0.15235124431115277
shot_adapted,test,0.574029337367659,0.0283051620652132,0.8870155613975577,0.05200501253132832,0.9087576950686302,0.014623832736242438,0.05200501253132832,0.022828329131331652,-0.02153591985941623
