epoch,loss,entropy_loss,align_loss,pseudo_ce_loss,lr,selected_ratio,selected_pos_ratio,ema_pos_prior
1,0.5971463299792366,0.14765635880375005,0.17460723699295427,0.916275743268605,0.00034086580994024983,0.6061312556266785,0.37708988785743713,0.017291374504566193
2,0.18506396961179808,0.07879235430177063,0.05661566100978264,0.16551984065527278,0.000264842339361953,0.7913256883621216,0.09602748602628708,0.018991410732269287
3,0.14195512126489282,0.06973928475077674,0.04984192666947394,0.07457969663400119,0.0002193456688254154,0.9706580638885498,0.07149332016706467,0.020218022167682648
4,0.1223355569627788,0.0674663686131606,0.04465710832341059,0.03404026502546547,0.00018869762389512346,0.989473819732666,0.06368983536958694,0.021277038380503654
5,0.12103925047005089,0.06618884781923959,0.046229552904199334,0.028736164763004658,0.00016647668953512012,0.991816520690918,0.06644649803638458,0.02236814796924591
6,0.11281777338568359,0.0648854364453988,0.04370823428792415,0.014080341487121168,0.00014953487812212205,0.9964700937271118,0.06453517824411392,0.02340487763285637
7,0.10831666912812755,0.06411751921653869,0.04172198884020903,0.008257203725933665,0.00013613639762823993,0.9987438917160034,0.06401676684617996,0.02441122755408287
8,0.10568535742394151,0.06376887836810732,0.039442293643126874,0.008247284157065172,0.0001252407744978563,0.9993321895599365,0.06410637497901917,0.025398362427949905
9,0.10395120760473944,0.06349499298327854,0.03831395330674894,0.00714087158428433,0.00011618404012127041,0.9994381666183472,0.06485792994499207,0.02638031169772148
10,0.1015827686587801,0.06325631374126778,0.03649689822769185,0.006098522572794593,0.00010852132017398014,0.9994912147521973,0.0650135725736618,0.027346443384885788
11,0.09983625011885061,0.06311539958990615,0.03477069281167673,0.0065005267862852266,0.00010194265469082737,0.9995070695877075,0.06546858698129654,0.02830147184431553
12,0.09812160964999626,0.06299681935378501,0.0331586670593102,0.006553743739095561,9.622504486493763e-05,0.9995176792144775,0.06543076783418655,0.029236800968647003
13,0.09608881373155553,0.06282108906704523,0.03170335503781418,0.00521456532014769,9.120369781116973e-05,0.9996448755264282,0.06495586037635803,0.030144240707159042
14,0.0945245619304731,0.06271633708323864,0.03036836367188391,0.004799537278569317,8.67540333382994e-05,0.9996820092201233,0.06492694467306137,0.031034816056489944
15,0.09311408968579171,0.06264094153628906,0.029015943898660718,0.00485734752746769,8.278001303808509e-05,0.9996979236602783,0.06488349288702011,0.03190813958644867
