variant,split,auroc,auprc,accuracy,sensitivity,specificity,precision,recall,f1,mcc
source,test,0.7933912928507633,0.09182898602177429,0.7544733717774763,0.7192982456140351,0.7553892671466794,0.07112175780604658,0.7192982456140351,0.12944448620611892,0.17091421333359616
shot_adapted,test,0.4526465501561071,0.025186589192861625,0.9127745505427408,0.06578947368421052,0.9348284788236062,0.025611838360842343,0.06578947368421052,0.0368701351904957,0.00039368891741144884
