[FINETUNE] Epoch 0/29 | Batch 50/3993 | Loss: 3.883140 | LR: 1.46e-07
[FINETUNE] Epoch 0/29 | Batch 100/3993 | Loss: 3.249313 | LR: 2.92e-07
[FINETUNE] Epoch 0/29 | Batch 150/3993 | Loss: 3.805866 | LR: 4.38e-07
[FINETUNE] Epoch 0/29 | Batch 200/3993 | Loss: 4.184306 | LR: 5.84e-07
[FINETUNE] Epoch 0/29 | Batch 250/3993 | Loss: 2.198816 | LR: 7.30e-07
[FINETUNE] Epoch 0/29 | Batch 300/3993 | Loss: 2.737478 | LR: 8.77e-07
[FINETUNE] Epoch 0/29 | Batch 350/3993 | Loss: 3.069026 | LR: 1.02e-06
[FINETUNE] Epoch 0/29 | Batch 400/3993 | Loss: 2.391478 | LR: 1.17e-06
[FINETUNE] Epoch 0/29 | Batch 450/3993 | Loss: 1.308784 | LR: 1.31e-06
[FINETUNE] Epoch 0/29 | Batch 500/3993 | Loss: 0.947145 | LR: 1.46e-06
[FINETUNE] Epoch 0/29 | Batch 550/3993 | Loss: 1.268532 | LR: 1.61e-06
[FINETUNE] Epoch 0/29 | Batch 600/3993 | Loss: 0.785194 | LR: 1.75e-06
[FINETUNE] Epoch 0/29 | Batch 650/3993 | Loss: 0.869753 | LR: 1.90e-06
[FINETUNE] Epoch 0/29 | Batch 700/3993 | Loss: 0.676512 | LR: 2.05e-06
[FINETUNE] Epoch 0/29 | Batch 750/3993 | Loss: 0.319313 | LR: 2.19e-06
[FINETUNE] Epoch 0/29 | Batch 800/3993 | Loss: 0.465154 | LR: 2.34e-06
[FINETUNE] Epoch 0/29 | Batch 850/3993 | Loss: 0.167198 | LR: 2.48e-06
[FINETUNE] Epoch 0/29 | Batch 900/3993 | Loss: 0.469601 | LR: 2.63e-06
[FINETUNE] Epoch 0/29 | Batch 950/3993 | Loss: 0.444534 | LR: 2.78e-06
[FINETUNE] Epoch 0/29 | Batch 1000/3993 | Loss: 0.500006 | LR: 2.92e-06
[FINETUNE] Epoch 0/29 | Batch 1050/3993 | Loss: 0.813923 | LR: 3.07e-06
[FINETUNE] Epoch 0/29 | Batch 1100/3993 | Loss: 0.407464 | LR: 3.21e-06
[FINETUNE] Epoch 0/29 | Batch 1150/3993 | Loss: 0.377014 | LR: 3.36e-06
[FINETUNE] Epoch 0/29 | Batch 1200/3993 | Loss: 0.430755 | LR: 3.51e-06
[FINETUNE] Epoch 0/29 | Batch 1250/3993 | Loss: 0.520033 | LR: 3.65e-06
[FINETUNE] Epoch 0/29 | Batch 1300/3993 | Loss: 0.607573 | LR: 3.80e-06
[FINETUNE] Epoch 0/29 | Batch 1350/3993 | Loss: 0.384161 | LR: 3.94e-06
[FINETUNE] Epoch 0/29 | Batch 1400/3993 | Loss: 0.321166 | LR: 4.09e-06
[FINETUNE] Epoch 0/29 | Batch 1450/3993 | Loss: 0.734525 | LR: 4.24e-06
[FINETUNE] Epoch 0/29 | Batch 1500/3993 | Loss: 0.746691 | LR: 4.38e-06
[FINETUNE] Epoch 0/29 | Batch 1550/3993 | Loss: 0.525481 | LR: 4.53e-06
[FINETUNE] Epoch 0/29 | Batch 1600/3993 | Loss: 0.329685 | LR: 4.67e-06
[FINETUNE] Epoch 0/29 | Batch 1650/3993 | Loss: 0.345507 | LR: 4.82e-06
[FINETUNE] Epoch 0/29 | Batch 1700/3993 | Loss: 0.257373 | LR: 4.97e-06
[FINETUNE] Epoch 0/29 | Batch 1750/3993 | Loss: 0.637704 | LR: 5.11e-06
[FINETUNE] Epoch 0/29 | Batch 1800/3993 | Loss: 0.622635 | LR: 5.26e-06
[FINETUNE] Epoch 0/29 | Batch 1850/3993 | Loss: 0.399560 | LR: 5.41e-06
[FINETUNE] Epoch 0/29 | Batch 1900/3993 | Loss: 0.219680 | LR: 5.55e-06
[FINETUNE] Epoch 0/29 | Batch 1950/3993 | Loss: 0.526036 | LR: 5.70e-06
[FINETUNE] Epoch 0/29 | Batch 2000/3993 | Loss: 0.450244 | LR: 5.84e-06
[FINETUNE] Epoch 0/29 | Batch 2050/3993 | Loss: 0.661811 | LR: 5.99e-06
[FINETUNE] Epoch 0/29 | Batch 2100/3993 | Loss: 0.225750 | LR: 6.14e-06
[FINETUNE] Epoch 0/29 | Batch 2150/3993 | Loss: 0.519762 | LR: 6.28e-06
[FINETUNE] Epoch 0/29 | Batch 2200/3993 | Loss: 0.204996 | LR: 6.43e-06
[FINETUNE] Epoch 0/29 | Batch 2250/3993 | Loss: 0.278453 | LR: 6.57e-06
[FINETUNE] Epoch 0/29 | Batch 2300/3993 | Loss: 0.291647 | LR: 6.72e-06
[FINETUNE] Epoch 0/29 | Batch 2350/3993 | Loss: 0.382885 | LR: 6.87e-06
[FINETUNE] Epoch 0/29 | Batch 2400/3993 | Loss: 0.398896 | LR: 7.01e-06
[FINETUNE] Epoch 0/29 | Batch 2450/3993 | Loss: 0.262396 | LR: 7.16e-06
