[FINETUNE] Epoch 0/29 | Batch 50/3845 | Loss: 1.236658 | LR: 1.30e-06
[FINETUNE] Epoch 0/29 | Batch 100/3845 | Loss: 1.216218 | LR: 2.60e-06
[FINETUNE] Epoch 0/29 | Batch 150/3845 | Loss: 1.328384 | LR: 3.90e-06
[FINETUNE] Epoch 0/29 | Batch 200/3845 | Loss: 1.234842 | LR: 5.20e-06
[FINETUNE] Epoch 0/29 | Batch 250/3845 | Loss: 0.838810 | LR: 6.50e-06
[FINETUNE] Epoch 0/29 | Batch 300/3845 | Loss: 0.909984 | LR: 7.80e-06
[FINETUNE] Epoch 0/29 | Batch 350/3845 | Loss: 0.656709 | LR: 9.10e-06
[FINETUNE] Epoch 0/29 | Batch 400/3845 | Loss: 0.638200 | LR: 1.04e-05
[FINETUNE] Epoch 0/29 | Batch 450/3845 | Loss: 0.654932 | LR: 1.17e-05
[FINETUNE] Epoch 0/29 | Batch 500/3845 | Loss: 0.823874 | LR: 1.30e-05
[FINETUNE] Epoch 0/29 | Batch 550/3845 | Loss: 1.436774 | LR: 1.43e-05
[FINETUNE] Epoch 0/29 | Batch 600/3845 | Loss: 0.618489 | LR: 1.56e-05
[FINETUNE] Epoch 0/29 | Batch 650/3845 | Loss: 0.669010 | LR: 1.69e-05
[FINETUNE] Epoch 0/29 | Batch 700/3845 | Loss: 0.660022 | LR: 1.82e-05
[FINETUNE] Epoch 0/29 | Batch 750/3845 | Loss: 0.754249 | LR: 1.95e-05
[FINETUNE] Epoch 0/29 | Batch 800/3845 | Loss: 0.504590 | LR: 2.08e-05
[FINETUNE] Epoch 0/29 | Batch 850/3845 | Loss: 0.847029 | LR: 2.21e-05
[FINETUNE] Epoch 0/29 | Batch 900/3845 | Loss: 0.990019 | LR: 2.34e-05
[FINETUNE] Epoch 0/29 | Batch 950/3845 | Loss: 0.764153 | LR: 2.47e-05
[FINETUNE] Epoch 0/29 | Batch 1000/3845 | Loss: 0.621044 | LR: 2.60e-05
[FINETUNE] Epoch 0/29 | Batch 1050/3845 | Loss: 0.721211 | LR: 2.73e-05
