[FINETUNE] Epoch 0/29 | Batch 100/3993 | Loss: 4.390583 | LR: 2.92e-07
[FINETUNE] Epoch 0/29 | Batch 200/3993 | Loss: 3.981149 | LR: 5.84e-07
[FINETUNE] Epoch 0/29 | Batch 300/3993 | Loss: 3.675574 | LR: 8.77e-07
[FINETUNE] Epoch 0/29 | Batch 400/3993 | Loss: 3.285421 | LR: 1.17e-06
[FINETUNE] Epoch 0/29 | Batch 500/3993 | Loss: 1.783447 | LR: 1.46e-06
[FINETUNE] Epoch 0/29 | Batch 600/3993 | Loss: 0.892883 | LR: 1.75e-06
[FINETUNE] Epoch 0/29 | Batch 700/3993 | Loss: 0.754243 | LR: 2.05e-06
[FINETUNE] Epoch 0/29 | Batch 800/3993 | Loss: 0.519340 | LR: 2.34e-06
[FINETUNE] Epoch 0/29 | Batch 900/3993 | Loss: 0.298509 | LR: 2.63e-06
[FINETUNE] Epoch 0/29 | Batch 1000/3993 | Loss: 0.480315 | LR: 2.92e-06
[FINETUNE] Epoch 0/29 | Batch 1100/3993 | Loss: 0.304032 | LR: 3.21e-06
[FINETUNE] Epoch 0/29 | Batch 1200/3993 | Loss: 0.449942 | LR: 3.51e-06
[FINETUNE] Epoch 0/29 | Batch 1300/3993 | Loss: 0.441142 | LR: 3.80e-06
[FINETUNE] Epoch 0/29 | Batch 1400/3993 | Loss: 0.239782 | LR: 4.09e-06
[FINETUNE] Epoch 0/29 | Batch 1500/3993 | Loss: 0.467881 | LR: 4.38e-06
[FINETUNE] Epoch 0/29 | Batch 1600/3993 | Loss: 0.363212 | LR: 4.67e-06
[FINETUNE] Epoch 0/29 | Batch 1700/3993 | Loss: 0.196378 | LR: 4.97e-06
[FINETUNE] Epoch 0/29 | Batch 1800/3993 | Loss: 0.481705 | LR: 5.26e-06
[FINETUNE] Epoch 0/29 | Batch 1900/3993 | Loss: 0.256972 | LR: 5.55e-06
[FINETUNE] Epoch 0/29 | Batch 2000/3993 | Loss: 0.366466 | LR: 5.84e-06
[FINETUNE] Epoch 0/29 | Batch 2100/3993 | Loss: 0.177772 | LR: 6.14e-06
[FINETUNE] Epoch 0/29 | Batch 2200/3993 | Loss: 0.188631 | LR: 6.43e-06
[FINETUNE] Epoch 0/29 | Batch 2300/3993 | Loss: 0.276976 | LR: 6.72e-06
[FINETUNE] Epoch 0/29 | Batch 2400/3993 | Loss: 0.396422 | LR: 7.01e-06
[FINETUNE] Epoch 0/29 | Batch 2500/3993 | Loss: 0.398877 | LR: 7.30e-06
[FINETUNE] Epoch 0/29 | Batch 2600/3993 | Loss: 0.246734 | LR: 7.60e-06
[FINETUNE] Epoch 0/29 | Batch 2700/3993 | Loss: 0.385117 | LR: 7.89e-06
[FINETUNE] Epoch 0/29 | Batch 2800/3993 | Loss: 0.378453 | LR: 8.18e-06
[FINETUNE] Epoch 0/29 | Batch 2900/3993 | Loss: 0.344789 | LR: 8.47e-06
[FINETUNE] Epoch 0/29 | Batch 3000/3993 | Loss: 0.213509 | LR: 8.77e-06
[FINETUNE] Epoch 0/29 | Batch 3100/3993 | Loss: 0.628603 | LR: 9.06e-06
[FINETUNE] Epoch 0/29 | Batch 3200/3993 | Loss: 0.243297 | LR: 9.35e-06
[FINETUNE] Epoch 0/29 | Batch 3300/3993 | Loss: 0.279939 | LR: 9.64e-06
[FINETUNE] Epoch 0/29 | Batch 3400/3993 | Loss: 0.455741 | LR: 9.93e-06
[FINETUNE] Epoch 0/29 | Batch 3500/3993 | Loss: 0.424368 | LR: 1.02e-05
[FINETUNE] Epoch 0/29 | Batch 3600/3993 | Loss: 0.452753 | LR: 1.05e-05
[FINETUNE] Epoch 0/29 | Batch 3700/3993 | Loss: 0.278337 | LR: 1.08e-05
[FINETUNE] Epoch 0/29 | Batch 3800/3993 | Loss: 0.150374 | LR: 1.11e-05
[FINETUNE] Epoch 0/29 | Batch 3900/3993 | Loss: 0.477806 | LR: 1.14e-05
[FINETUNE] Epoch 1/29 | Batch 100/3993 | Loss: 0.139716 | LR: 1.20e-05
[FINETUNE] Epoch 1/29 | Batch 200/3993 | Loss: 0.225519 | LR: 1.23e-05
[FINETUNE] Epoch 1/29 | Batch 300/3993 | Loss: 0.197203 | LR: 1.25e-05
[FINETUNE] Epoch 1/29 | Batch 400/3993 | Loss: 0.275118 | LR: 1.28e-05
[FINETUNE] Epoch 1/29 | Batch 500/3993 | Loss: 0.325571 | LR: 1.31e-05
[FINETUNE] Epoch 1/29 | Batch 600/3993 | Loss: 0.171209 | LR: 1.34e-05
[FINETUNE] Epoch 1/29 | Batch 700/3993 | Loss: 0.133493 | LR: 1.37e-05
[FINETUNE] Epoch 1/29 | Batch 800/3993 | Loss: 0.239298 | LR: 1.40e-05
[FINETUNE] Epoch 1/29 | Batch 900/3993 | Loss: 0.293006 | LR: 1.43e-05
[FINETUNE] Epoch 1/29 | Batch 1000/3993 | Loss: 0.339731 | LR: 1.46e-05
[FINETUNE] Epoch 1/29 | Batch 1100/3993 | Loss: 0.342356 | LR: 1.49e-05
[FINETUNE] Epoch 1/29 | Batch 1200/3993 | Loss: 0.374108 | LR: 1.52e-05
[FINETUNE] Epoch 1/29 | Batch 1300/3993 | Loss: 0.378535 | LR: 1.55e-05
[FINETUNE] Epoch 1/29 | Batch 1400/3993 | Loss: 0.147163 | LR: 1.58e-05
[FINETUNE] Epoch 1/29 | Batch 1500/3993 | Loss: 0.436312 | LR: 1.60e-05
[FINETUNE] Epoch 1/29 | Batch 1600/3993 | Loss: 0.174386 | LR: 1.63e-05
[FINETUNE] Epoch 1/29 | Batch 1700/3993 | Loss: 0.172017 | LR: 1.66e-05
[FINETUNE] Epoch 1/29 | Batch 1800/3993 | Loss: 0.370729 | LR: 1.69e-05
[FINETUNE] Epoch 1/29 | Batch 1900/3993 | Loss: 0.186905 | LR: 1.72e-05
[FINETUNE] Epoch 1/29 | Batch 2000/3993 | Loss: 0.233749 | LR: 1.75e-05
[FINETUNE] Epoch 1/29 | Batch 2100/3993 | Loss: 0.132276 | LR: 1.78e-05
[FINETUNE] Epoch 1/29 | Batch 2200/3993 | Loss: 0.127866 | LR: 1.81e-05
[FINETUNE] Epoch 1/29 | Batch 2300/3993 | Loss: 0.140026 | LR: 1.84e-05
[FINETUNE] Epoch 1/29 | Batch 2400/3993 | Loss: 0.277873 | LR: 1.87e-05
[FINETUNE] Epoch 1/29 | Batch 2500/3993 | Loss: 0.286115 | LR: 1.90e-05
[FINETUNE] Epoch 1/29 | Batch 2600/3993 | Loss: 0.140776 | LR: 1.93e-05
[FINETUNE] Epoch 1/29 | Batch 2700/3993 | Loss: 0.327410 | LR: 1.96e-05
[FINETUNE] Epoch 1/29 | Batch 2800/3993 | Loss: 0.308806 | LR: 1.98e-05
[FINETUNE] Epoch 1/29 | Batch 2900/3993 | Loss: 0.199867 | LR: 2.01e-05
[FINETUNE] Epoch 1/29 | Batch 3000/3993 | Loss: 0.094886 | LR: 2.04e-05
[FINETUNE] Epoch 1/29 | Batch 3100/3993 | Loss: 0.485970 | LR: 2.07e-05
[FINETUNE] Epoch 1/29 | Batch 3200/3993 | Loss: 0.096811 | LR: 2.10e-05
[FINETUNE] Epoch 1/29 | Batch 3300/3993 | Loss: 0.287289 | LR: 2.13e-05
[FINETUNE] Epoch 1/29 | Batch 3400/3993 | Loss: 0.303417 | LR: 2.16e-05
