[FINETUNE] Epoch 0/29 | Batch 100/3845 | Loss: 1.131388 | LR: 1.73e-07
[FINETUNE] Epoch 0/29 | Batch 200/3845 | Loss: 0.878850 | LR: 3.47e-07
[FINETUNE] Epoch 0/29 | Batch 300/3845 | Loss: 1.083269 | LR: 5.20e-07
[FINETUNE] Epoch 0/29 | Batch 400/3845 | Loss: 1.546066 | LR: 6.94e-07
[FINETUNE] Epoch 0/29 | Batch 500/3845 | Loss: 1.275450 | LR: 8.67e-07
[FINETUNE] Epoch 0/29 | Batch 600/3845 | Loss: 1.566983 | LR: 1.04e-06
[FINETUNE] Epoch 0/29 | Batch 700/3845 | Loss: 1.167228 | LR: 1.21e-06
[FINETUNE] Epoch 0/29 | Batch 800/3845 | Loss: 1.161862 | LR: 1.39e-06
[FINETUNE] Epoch 0/29 | Batch 900/3845 | Loss: 1.034417 | LR: 1.56e-06
[FINETUNE] Epoch 0/29 | Batch 1000/3845 | Loss: 1.019163 | LR: 1.73e-06
[FINETUNE] Epoch 0/29 | Batch 1100/3845 | Loss: 1.014571 | LR: 1.91e-06
[FINETUNE] Epoch 0/29 | Batch 1200/3845 | Loss: 1.900997 | LR: 2.08e-06
[FINETUNE] Epoch 0/29 | Batch 1300/3845 | Loss: 1.043314 | LR: 2.25e-06
[FINETUNE] Epoch 0/29 | Batch 1400/3845 | Loss: 1.318715 | LR: 2.43e-06
[FINETUNE] Epoch 0/29 | Batch 1500/3845 | Loss: 0.930739 | LR: 2.60e-06
[FINETUNE] Epoch 0/29 | Batch 1600/3845 | Loss: 0.977124 | LR: 2.77e-06
[FINETUNE] Epoch 0/29 | Batch 1700/3845 | Loss: 0.979778 | LR: 2.95e-06
[FINETUNE] Epoch 0/29 | Batch 1800/3845 | Loss: 1.038827 | LR: 3.12e-06
[FINETUNE] Epoch 0/29 | Batch 1900/3845 | Loss: 0.863436 | LR: 3.29e-06
[FINETUNE] Epoch 0/29 | Batch 2000/3845 | Loss: 0.997698 | LR: 3.47e-06
[FINETUNE] Epoch 0/29 | Batch 2100/3845 | Loss: 1.346289 | LR: 3.64e-06
[FINETUNE] Epoch 0/29 | Batch 2200/3845 | Loss: 0.705789 | LR: 3.81e-06
[FINETUNE] Epoch 0/29 | Batch 2300/3845 | Loss: 0.997278 | LR: 3.99e-06
[FINETUNE] Epoch 0/29 | Batch 2400/3845 | Loss: 0.961227 | LR: 4.16e-06
[FINETUNE] Epoch 0/29 | Batch 2500/3845 | Loss: 0.815011 | LR: 4.33e-06
[FINETUNE] Epoch 0/29 | Batch 2600/3845 | Loss: 1.147842 | LR: 4.51e-06
[FINETUNE] Epoch 0/29 | Batch 2700/3845 | Loss: 0.756742 | LR: 4.68e-06
[FINETUNE] Epoch 0/29 | Batch 2800/3845 | Loss: 0.475918 | LR: 4.85e-06
[FINETUNE] Epoch 0/29 | Batch 2900/3845 | Loss: 0.925407 | LR: 5.03e-06
[FINETUNE] Epoch 0/29 | Batch 3000/3845 | Loss: 0.794865 | LR: 5.20e-06
[FINETUNE] Epoch 0/29 | Batch 3100/3845 | Loss: 0.732297 | LR: 5.37e-06
[FINETUNE] Epoch 0/29 | Batch 3200/3845 | Loss: 1.001051 | LR: 5.55e-06
[FINETUNE] Epoch 0/29 | Batch 3300/3845 | Loss: 0.873242 | LR: 5.72e-06
[FINETUNE] Epoch 0/29 | Batch 3400/3845 | Loss: 0.787617 | LR: 5.90e-06
[FINETUNE] Epoch 0/29 | Batch 3500/3845 | Loss: 1.367202 | LR: 6.07e-06
[FINETUNE] Epoch 0/29 | Batch 3600/3845 | Loss: 0.697769 | LR: 6.24e-06
[FINETUNE] Epoch 0/29 | Batch 3700/3845 | Loss: 0.959527 | LR: 6.42e-06
[FINETUNE] Epoch 0/29 | Batch 3800/3845 | Loss: 1.179947 | LR: 6.59e-06
[FINETUNE] Epoch 1/29 | Batch 100/3845 | Loss: 0.806147 | LR: 6.84e-06
[FINETUNE] Epoch 1/29 | Batch 200/3845 | Loss: 0.523315 | LR: 7.01e-06
[FINETUNE] Epoch 1/29 | Batch 300/3845 | Loss: 0.731606 | LR: 7.19e-06
[FINETUNE] Epoch 1/29 | Batch 400/3845 | Loss: 0.921016 | LR: 7.36e-06
[FINETUNE] Epoch 1/29 | Batch 500/3845 | Loss: 0.874539 | LR: 7.53e-06
[FINETUNE] Epoch 1/29 | Batch 600/3845 | Loss: 1.035059 | LR: 7.71e-06
[FINETUNE] Epoch 1/29 | Batch 700/3845 | Loss: 0.519658 | LR: 7.88e-06
[FINETUNE] Epoch 1/29 | Batch 800/3845 | Loss: 0.727952 | LR: 8.05e-06
[FINETUNE] Epoch 1/29 | Batch 900/3845 | Loss: 1.391746 | LR: 8.23e-06
[FINETUNE] Epoch 1/29 | Batch 1000/3845 | Loss: 0.735997 | LR: 8.40e-06
[FINETUNE] Epoch 1/29 | Batch 1100/3845 | Loss: 0.742064 | LR: 8.57e-06
[FINETUNE] Epoch 1/29 | Batch 1200/3845 | Loss: 0.893176 | LR: 8.75e-06
[FINETUNE] Epoch 1/29 | Batch 1300/3845 | Loss: 0.629034 | LR: 8.92e-06
[FINETUNE] Epoch 1/29 | Batch 1400/3845 | Loss: 0.723270 | LR: 9.09e-06
[FINETUNE] Epoch 1/29 | Batch 1500/3845 | Loss: 0.603551 | LR: 9.27e-06
[FINETUNE] Epoch 1/29 | Batch 1600/3845 | Loss: 1.075577 | LR: 9.44e-06
[FINETUNE] Epoch 1/29 | Batch 1700/3845 | Loss: 0.614457 | LR: 9.61e-06
[FINETUNE] Epoch 1/29 | Batch 1800/3845 | Loss: 0.393336 | LR: 9.79e-06
[FINETUNE] Epoch 1/29 | Batch 1900/3845 | Loss: 0.783969 | LR: 9.96e-06
[FINETUNE] Epoch 1/29 | Batch 2000/3845 | Loss: 1.092915 | LR: 1.01e-05
[FINETUNE] Epoch 1/29 | Batch 2100/3845 | Loss: 1.120195 | LR: 1.03e-05
[FINETUNE] Epoch 1/29 | Batch 2200/3845 | Loss: 0.795403 | LR: 1.05e-05
[FINETUNE] Epoch 1/29 | Batch 2300/3845 | Loss: 0.675568 | LR: 1.07e-05
[FINETUNE] Epoch 1/29 | Batch 2400/3845 | Loss: 0.948711 | LR: 1.08e-05
[FINETUNE] Epoch 1/29 | Batch 2500/3845 | Loss: 0.579949 | LR: 1.10e-05
[FINETUNE] Epoch 1/29 | Batch 2600/3845 | Loss: 0.877064 | LR: 1.12e-05
[FINETUNE] Epoch 1/29 | Batch 2700/3845 | Loss: 0.653341 | LR: 1.13e-05
[FINETUNE] Epoch 1/29 | Batch 2800/3845 | Loss: 1.353509 | LR: 1.15e-05
[FINETUNE] Epoch 1/29 | Batch 2900/3845 | Loss: 0.673465 | LR: 1.17e-05
[FINETUNE] Epoch 1/29 | Batch 3000/3845 | Loss: 0.500785 | LR: 1.19e-05
