[PRETRAIN] Epoch 0/39 | Batch 6200/10684 | Loss: 0.618356 | LR: 2.62e-06
[PRETRAIN] Epoch 0/39 | Batch 6300/10684 | Loss: 0.599587 | LR: 2.64e-06
[PRETRAIN] Epoch 0/39 | Batch 6400/10684 | Loss: 0.647118 | LR: 2.66e-06
[PRETRAIN] Epoch 0/39 | Batch 6500/10684 | Loss: 0.670327 | LR: 2.68e-06
[PRETRAIN] Epoch 0/39 | Batch 6600/10684 | Loss: 0.646083 | LR: 2.70e-06
[PRETRAIN] Epoch 0/39 | Batch 6700/10684 | Loss: 0.609159 | LR: 2.72e-06
[PRETRAIN] Epoch 0/39 | Batch 6800/10684 | Loss: 0.642647 | LR: 2.75e-06
[PRETRAIN] Epoch 0/39 | Batch 6900/10684 | Loss: 0.580005 | LR: 2.77e-06
[PRETRAIN] Epoch 0/39 | Batch 7000/10684 | Loss: 0.556027 | LR: 2.79e-06
[PRETRAIN] Epoch 0/39 | Batch 7100/10684 | Loss: 0.568061 | LR: 2.81e-06
[PRETRAIN] Epoch 0/39 | Batch 7200/10684 | Loss: 0.664327 | LR: 2.84e-06
[PRETRAIN] Epoch 0/39 | Batch 7300/10684 | Loss: 0.634452 | LR: 2.86e-06
[PRETRAIN] Epoch 0/39 | Batch 7400/10684 | Loss: 0.583497 | LR: 2.88e-06
[PRETRAIN] Epoch 0/39 | Batch 7500/10684 | Loss: 0.516575 | LR: 2.91e-06
[PRETRAIN] Epoch 0/39 | Batch 7600/10684 | Loss: 0.722445 | LR: 2.93e-06
[PRETRAIN] Epoch 0/39 | Batch 7700/10684 | Loss: 0.499593 | LR: 2.95e-06
[PRETRAIN] Epoch 0/39 | Batch 7800/10684 | Loss: 0.600042 | LR: 2.98e-06
[PRETRAIN] Epoch 0/39 | Batch 7900/10684 | Loss: 0.567616 | LR: 3.00e-06
[PRETRAIN] Epoch 0/39 | Batch 8000/10684 | Loss: 0.478246 | LR: 3.03e-06
[PRETRAIN] Epoch 0/39 | Batch 8100/10684 | Loss: 0.686611 | LR: 3.06e-06
[PRETRAIN] Epoch 0/39 | Batch 8200/10684 | Loss: 0.553751 | LR: 3.08e-06
[PRETRAIN] Epoch 0/39 | Batch 8300/10684 | Loss: 0.568283 | LR: 3.11e-06
[PRETRAIN] Epoch 0/39 | Batch 8400/10684 | Loss: 0.539673 | LR: 3.13e-06
[PRETRAIN] Epoch 0/39 | Batch 8500/10684 | Loss: 0.587223 | LR: 3.16e-06
[PRETRAIN] Epoch 0/39 | Batch 8600/10684 | Loss: 0.717422 | LR: 3.19e-06
[PRETRAIN] Epoch 0/39 | Batch 8700/10684 | Loss: 0.507237 | LR: 3.22e-06
[PRETRAIN] Epoch 0/39 | Batch 8800/10684 | Loss: 0.539800 | LR: 3.24e-06
[PRETRAIN] Epoch 0/39 | Batch 8900/10684 | Loss: 0.587643 | LR: 3.27e-06
[PRETRAIN] Epoch 0/39 | Batch 9000/10684 | Loss: 0.611336 | LR: 3.30e-06
[PRETRAIN] Epoch 0/39 | Batch 9100/10684 | Loss: 0.588629 | LR: 3.33e-06
[PRETRAIN] Epoch 0/39 | Batch 9200/10684 | Loss: 0.562360 | LR: 3.36e-06
[PRETRAIN] Epoch 0/39 | Batch 9300/10684 | Loss: 0.487721 | LR: 3.39e-06
[PRETRAIN] Epoch 0/39 | Batch 9400/10684 | Loss: 0.639348 | LR: 3.42e-06
[PRETRAIN] Epoch 0/39 | Batch 9500/10684 | Loss: 0.642134 | LR: 3.45e-06
[PRETRAIN] Epoch 0/39 | Batch 9600/10684 | Loss: 0.523301 | LR: 3.48e-06
[PRETRAIN] Epoch 0/39 | Batch 9700/10684 | Loss: 0.463679 | LR: 3.51e-06
[PRETRAIN] Epoch 0/39 | Batch 9800/10684 | Loss: 0.512934 | LR: 3.54e-06
[PRETRAIN] Epoch 0/39 | Batch 9900/10684 | Loss: 0.479610 | LR: 3.57e-06
[PRETRAIN] Epoch 0/39 | Batch 10000/10684 | Loss: 0.705471 | LR: 3.60e-06
[PRETRAIN] Epoch 0/39 | Batch 10100/10684 | Loss: 0.615553 | LR: 3.63e-06
[PRETRAIN] Epoch 0/39 | Batch 10200/10684 | Loss: 0.462204 | LR: 3.67e-06
[PRETRAIN] Epoch 0/39 | Batch 10300/10684 | Loss: 0.467569 | LR: 3.70e-06
[PRETRAIN] Epoch 0/39 | Batch 10400/10684 | Loss: 0.780620 | LR: 3.73e-06
[PRETRAIN] Epoch 0/39 | Batch 10500/10684 | Loss: 0.637847 | LR: 3.77e-06
[PRETRAIN] Epoch 0/39 | Batch 10600/10684 | Loss: 0.667960 | LR: 3.80e-06
[PRETRAIN] Epoch 1/39 | Batch 100/10684 | Loss: 0.588549 | LR: 3.86e-06
[PRETRAIN] Epoch 1/39 | Batch 200/10684 | Loss: 0.473659 | LR: 3.90e-06
[PRETRAIN] Epoch 1/39 | Batch 300/10684 | Loss: 0.618990 | LR: 3.93e-06
[PRETRAIN] Epoch 1/39 | Batch 400/10684 | Loss: 0.611686 | LR: 3.96e-06
[PRETRAIN] Epoch 1/39 | Batch 500/10684 | Loss: 0.412802 | LR: 4.00e-06
[PRETRAIN] Epoch 1/39 | Batch 600/10684 | Loss: 0.601078 | LR: 4.03e-06
[PRETRAIN] Epoch 1/39 | Batch 700/10684 | Loss: 0.494670 | LR: 4.07e-06
[PRETRAIN] Epoch 1/39 | Batch 800/10684 | Loss: 0.496916 | LR: 4.11e-06
[PRETRAIN] Epoch 1/39 | Batch 900/10684 | Loss: 0.570252 | LR: 4.14e-06
[PRETRAIN] Epoch 1/39 | Batch 1000/10684 | Loss: 0.621463 | LR: 4.18e-06
[PRETRAIN] Epoch 1/39 | Batch 1100/10684 | Loss: 0.596654 | LR: 4.22e-06
[PRETRAIN] Epoch 1/39 | Batch 1200/10684 | Loss: 0.536667 | LR: 4.25e-06
[PRETRAIN] Epoch 1/39 | Batch 1300/10684 | Loss: 0.483047 | LR: 4.29e-06
[PRETRAIN] Epoch 1/39 | Batch 1400/10684 | Loss: 0.514455 | LR: 4.33e-06
[PRETRAIN] Epoch 1/39 | Batch 1500/10684 | Loss: 0.504384 | LR: 4.37e-06
[PRETRAIN] Epoch 1/39 | Batch 1600/10684 | Loss: 0.582883 | LR: 4.41e-06
[PRETRAIN] Epoch 1/39 | Batch 1700/10684 | Loss: 0.507236 | LR: 4.44e-06
[PRETRAIN] Epoch 1/39 | Batch 1800/10684 | Loss: 0.607224 | LR: 4.48e-06
[PRETRAIN] Epoch 1/39 | Batch 1900/10684 | Loss: 0.568439 | LR: 4.52e-06
[PRETRAIN] Epoch 1/39 | Batch 2000/10684 | Loss: 0.678261 | LR: 4.56e-06
[PRETRAIN] Epoch 1/39 | Batch 2100/10684 | Loss: 0.409442 | LR: 4.60e-06
[PRETRAIN] Epoch 1/39 | Batch 2200/10684 | Loss: 0.484254 | LR: 4.64e-06
[PRETRAIN] Epoch 1/39 | Batch 2300/10684 | Loss: 0.536573 | LR: 4.68e-06
[PRETRAIN] Epoch 1/39 | Batch 2400/10684 | Loss: 0.575317 | LR: 4.72e-06
[PRETRAIN] Epoch 1/39 | Batch 2500/10684 | Loss: 0.607063 | LR: 4.76e-06
[PRETRAIN] Epoch 1/39 | Batch 2600/10684 | Loss: 0.626596 | LR: 4.80e-06
[PRETRAIN] Epoch 1/39 | Batch 2700/10684 | Loss: 0.506754 | LR: 4.85e-06
[PRETRAIN] Epoch 1/39 | Batch 2800/10684 | Loss: 0.341362 | LR: 4.89e-06
[PRETRAIN] Epoch 1/39 | Batch 2900/10684 | Loss: 0.664008 | LR: 4.93e-06
[PRETRAIN] Epoch 1/39 | Batch 3000/10684 | Loss: 0.621805 | LR: 4.97e-06
[PRETRAIN] Epoch 1/39 | Batch 3100/10684 | Loss: 0.537519 | LR: 5.01e-06
[PRETRAIN] Epoch 1/39 | Batch 3200/10684 | Loss: 0.578302 | LR: 5.06e-06
[PRETRAIN] Epoch 1/39 | Batch 3300/10684 | Loss: 0.481959 | LR: 5.10e-06
[PRETRAIN] Epoch 1/39 | Batch 3400/10684 | Loss: 0.401318 | LR: 5.14e-06
[PRETRAIN] Epoch 1/39 | Batch 3500/10684 | Loss: 0.588316 | LR: 5.19e-06
[PRETRAIN] Epoch 1/39 | Batch 3600/10684 | Loss: 0.553286 | LR: 5.23e-06
[PRETRAIN] Epoch 1/39 | Batch 3700/10684 | Loss: 0.473374 | LR: 5.28e-06
[PRETRAIN] Epoch 1/39 | Batch 3800/10684 | Loss: 0.478419 | LR: 5.32e-06
[PRETRAIN] Epoch 1/39 | Batch 3900/10684 | Loss: 0.594638 | LR: 5.37e-06
[PRETRAIN] Epoch 1/39 | Batch 4000/10684 | Loss: 0.439273 | LR: 5.41e-06
[PRETRAIN] Epoch 1/39 | Batch 4100/10684 | Loss: 0.334012 | LR: 5.46e-06
[PRETRAIN] Epoch 1/39 | Batch 4200/10684 | Loss: 0.486045 | LR: 5.50e-06
[PRETRAIN] Epoch 1/39 | Batch 4300/10684 | Loss: 0.400982 | LR: 5.55e-06
[PRETRAIN] Epoch 1/39 | Batch 4400/10684 | Loss: 0.642126 | LR: 5.60e-06
[PRETRAIN] Epoch 1/39 | Batch 4500/10684 | Loss: 0.495805 | LR: 5.64e-06
[PRETRAIN] Epoch 1/39 | Batch 4600/10684 | Loss: 0.438230 | LR: 5.69e-06
[PRETRAIN] Epoch 1/39 | Batch 4700/10684 | Loss: 0.479729 | LR: 5.74e-06
[PRETRAIN] Epoch 1/39 | Batch 4800/10684 | Loss: 0.471502 | LR: 5.78e-06
[PRETRAIN] Epoch 1/39 | Batch 4900/10684 | Loss: 0.374083 | LR: 5.83e-06
[PRETRAIN] Epoch 1/39 | Batch 5000/10684 | Loss: 0.642519 | LR: 5.88e-06
[PRETRAIN] Epoch 1/39 | Batch 5100/10684 | Loss: 0.503832 | LR: 5.93e-06
[PRETRAIN] Epoch 1/39 | Batch 5200/10684 | Loss: 0.505875 | LR: 5.98e-06
[PRETRAIN] Epoch 1/39 | Batch 5300/10684 | Loss: 0.433124 | LR: 6.02e-06
[PRETRAIN] Epoch 1/39 | Batch 5400/10684 | Loss: 0.540586 | LR: 6.07e-06
[PRETRAIN] Epoch 1/39 | Batch 5500/10684 | Loss: 0.567269 | LR: 6.12e-06
[PRETRAIN] Epoch 1/39 | Batch 5600/10684 | Loss: 0.690586 | LR: 6.17e-06
[PRETRAIN] Epoch 1/39 | Batch 5700/10684 | Loss: 0.476566 | LR: 6.22e-06
[PRETRAIN] Epoch 1/39 | Batch 5800/10684 | Loss: 0.523971 | LR: 6.27e-06
[PRETRAIN] Epoch 1/39 | Batch 5900/10684 | Loss: 0.487535 | LR: 6.32e-06
[PRETRAIN] Epoch 1/39 | Batch 6000/10684 | Loss: 0.401236 | LR: 6.37e-06
[PRETRAIN] Epoch 1/39 | Batch 6100/10684 | Loss: 0.615475 | LR: 6.42e-06
[PRETRAIN] Epoch 1/39 | Batch 6200/10684 | Loss: 0.468134 | LR: 6.48e-06
[PRETRAIN] Epoch 1/39 | Batch 6300/10684 | Loss: 0.470881 | LR: 6.53e-06
[PRETRAIN] Epoch 1/39 | Batch 6400/10684 | Loss: 0.486829 | LR: 6.58e-06
[PRETRAIN] Epoch 1/39 | Batch 6500/10684 | Loss: 0.446515 | LR: 6.63e-06
[PRETRAIN] Epoch 1/39 | Batch 6600/10684 | Loss: 0.382508 | LR: 6.68e-06
[PRETRAIN] Epoch 1/39 | Batch 6700/10684 | Loss: 0.444688 | LR: 6.73e-06
[PRETRAIN] Epoch 1/39 | Batch 6800/10684 | Loss: 0.566842 | LR: 6.79e-06
[PRETRAIN] Epoch 1/39 | Batch 6900/10684 | Loss: 0.426784 | LR: 6.84e-06
[PRETRAIN] Epoch 1/39 | Batch 7000/10684 | Loss: 0.326255 | LR: 6.89e-06
[PRETRAIN] Epoch 1/39 | Batch 7100/10684 | Loss: 0.356430 | LR: 6.95e-06
[PRETRAIN] Epoch 1/39 | Batch 7200/10684 | Loss: 0.687371 | LR: 7.00e-06
[PRETRAIN] Epoch 1/39 | Batch 7300/10684 | Loss: 0.532616 | LR: 7.06e-06
[PRETRAIN] Epoch 1/39 | Batch 7400/10684 | Loss: 0.536014 | LR: 7.11e-06
[PRETRAIN] Epoch 1/39 | Batch 7500/10684 | Loss: 0.463081 | LR: 7.16e-06
[PRETRAIN] Epoch 1/39 | Batch 7600/10684 | Loss: 0.491401 | LR: 7.22e-06
[PRETRAIN] Epoch 1/39 | Batch 7700/10684 | Loss: 0.411086 | LR: 7.27e-06
[PRETRAIN] Epoch 1/39 | Batch 7800/10684 | Loss: 0.556114 | LR: 7.33e-06
[PRETRAIN] Epoch 1/39 | Batch 7900/10684 | Loss: 0.449760 | LR: 7.38e-06
[PRETRAIN] Epoch 1/39 | Batch 8000/10684 | Loss: 0.497049 | LR: 7.44e-06
[PRETRAIN] Epoch 1/39 | Batch 8100/10684 | Loss: 0.694574 | LR: 7.50e-06
[PRETRAIN] Epoch 1/39 | Batch 8200/10684 | Loss: 0.488243 | LR: 7.55e-06
[PRETRAIN] Epoch 1/39 | Batch 8300/10684 | Loss: 0.492811 | LR: 7.61e-06
[PRETRAIN] Epoch 1/39 | Batch 8400/10684 | Loss: 0.416617 | LR: 7.67e-06
[PRETRAIN] Epoch 1/39 | Batch 8500/10684 | Loss: 0.318089 | LR: 7.72e-06
[PRETRAIN] Epoch 1/39 | Batch 8600/10684 | Loss: 0.453053 | LR: 7.78e-06
[PRETRAIN] Epoch 1/39 | Batch 8700/10684 | Loss: 0.315051 | LR: 7.84e-06
[PRETRAIN] Epoch 1/39 | Batch 8800/10684 | Loss: 0.482502 | LR: 7.90e-06
[PRETRAIN] Epoch 1/39 | Batch 8900/10684 | Loss: 0.422600 | LR: 7.95e-06
[PRETRAIN] Epoch 1/39 | Batch 9000/10684 | Loss: 0.460248 | LR: 8.01e-06
[PRETRAIN] Epoch 1/39 | Batch 9100/10684 | Loss: 0.359216 | LR: 8.07e-06
[PRETRAIN] Epoch 1/39 | Batch 9200/10684 | Loss: 0.342739 | LR: 8.13e-06
[PRETRAIN] Epoch 1/39 | Batch 9300/10684 | Loss: 0.444093 | LR: 8.19e-06
[PRETRAIN] Epoch 1/39 | Batch 9400/10684 | Loss: 0.607092 | LR: 8.25e-06
[PRETRAIN] Epoch 1/39 | Batch 9500/10684 | Loss: 0.463112 | LR: 8.31e-06
[PRETRAIN] Epoch 1/39 | Batch 9600/10684 | Loss: 0.378279 | LR: 8.37e-06
[PRETRAIN] Epoch 1/39 | Batch 9700/10684 | Loss: 0.302161 | LR: 8.43e-06
[PRETRAIN] Epoch 1/39 | Batch 9800/10684 | Loss: 0.604957 | LR: 8.49e-06
[PRETRAIN] Epoch 1/39 | Batch 9900/10684 | Loss: 0.375442 | LR: 8.55e-06
