Epoch,Epoch Time,Train Loss,Val Loss,Val auprc,Val auroc,Learning Rate
0,5285.852594,0.5884115312294494,0.6466345053997996,0.7345656156539917,0.7228213548660278,3.826933417976274e-06
1,5388.757704,0.4748887553732969,0.5606335419356141,0.8141879439353943,0.8053697347640991,9.029593195761877e-06
2,5375.827166,0.37097402525007817,0.4762423313003892,0.8818641901016235,0.8766835927963257,1.6815903249157023e-05
3,5378.335812,0.30184718323170645,0.42315798817017986,0.9133232235908508,0.9087647199630737,2.600044107488904e-05
4,5363.336161,0.2597853165893606,0.371505257491272,0.9318550229072571,0.9266588687896729,3.51849117494165e-05
5,5339.803249,0.22980528357426538,0.33699048401859716,0.9419476389884949,0.9365660548210144,4.29710305725963e-05
6,5440.064501,0.20871606559479747,0.31809664743965804,0.9475908279418945,0.9423335790634155,4.8173404154895004e-05
7,5321.08516,0.19178189130878973,0.2987160002279642,0.9540499448776245,0.9491060376167297,4.9999999998944545e-05
8,5371.086513,0.17815713005964004,0.299178754472131,0.9580643177032471,0.9534776210784912,4.9879596130500345e-05
9,5405.772676,0.16590083845744963,0.28060434966686504,0.9621347188949585,0.9580797553062439,4.9519589113803385e-05
10,5471.079815,0.15616856346298072,0.28294282833463524,0.9626980423927307,0.9588994979858398,4.892344601322431e-05
11,5412.324463,0.1472366220450802,0.27888659197276894,0.9655417203903198,0.962227463722229,4.809690801270667e-05
12,5457.482425,0.1403223316494455,0.27044002198173933,0.965117871761322,0.9621741771697998,4.704793512502708e-05
13,5496.953509,0.1331938755351479,0.27312400353422583,0.9659548997879028,0.9635635614395142,4.5786629532520804e-05
14,5493.907709,0.1273272670930543,0.27641904252402527,0.9663804769515991,0.9643888473510742,4.432513829754345e-05
15,5448.749662,0.12075390678478104,0.27998354711028567,0.9654982686042786,0.9633818864822388,4.267753637962022e-05
16,5423.048068,0.11517696365222783,0.2849025584792937,0.9661717414855957,0.9643861651420593,4.085969108589155e-05
17,5462.557524,0.10921362653204342,0.28178132402177414,0.9663329124450684,0.964862585067749,3.8889109260271376e-05
18,5475.160057,0.10337158216639725,0.2864969760888389,0.9662839770317078,0.9649090766906738,3.6784768682970004e-05
19,5415.632907,0.09750685978553843,0.28762909970250916,0.966008722782135,0.96519935131073,3.456693530409642e-05
