split,auroc,auprc,accuracy,precision,recall,sensitivity,specificity,f1,mcc
train,0.9981564106176715,0.9364308555634385,0.9644558595178192,0.39543882040775197,0.9979318177965384,0.9979318177965384,0.9636584627188112,0.5664264339392073,0.6166043872836222
validation,0.992113642106545,0.8507191268182401,0.9597929837390005,0.36048415390012867,0.9405034324942791,0.9405034324942791,0.9602525057965853,0.5211987995096589,0.5686656950593545
test,0.7571410312516398,0.1289124170837433,0.57752905451597,0.045823180710622975,0.7894736842105263,0.7894736842105263,0.5720111576921195,0.08661877427559894,0.11460164266146522
