split,auroc,auprc,accuracy,precision,recall,sensitivity,specificity,f1,mcc
train,0.9799378175606845,0.6390842625935746,0.8656169602187235,0.14679872124365323,0.9925070775907373,0.9925070775907373,0.8625944396212321,0.2557676261538529,0.35404931145945856
validation,0.9731690121873756,0.5787360650391762,0.8643248366268277,0.14371863819446007,0.974370709382151,0.974370709382151,0.8617032875178986,0.2504902345281983,0.3457852593726314
test,0.6110429837232939,0.03492617326545319,0.2155943125751867,0.028309281202452855,0.8976608187134503,0.8976608187134503,0.19783697372069883,0.054887587717337864,0.037874157830332045
